Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,SD_1,SD_2,SD_3,SD_4,SD_5,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
dvdtmax-vrest-APD90-camax-carest,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,4.3999813,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.210557301,0.938388626,0.777777778,-12.94841593,15.17362932,0.965032821,32.49629345,46.60531573,2.52439321,-10.8772455,72.39906799,-88.02084897,363.9871979,0.000245491,7.48E-05,1.261624597,0.009432504,83.19192952,1.78E-05,9.00E-07,1,0.9965,0.651,0.9965,1,0.9965,0.9955,1,1,0.9835,1,0.9995,0.8575,0.0095,0.9945,0.9825,0.101,0.663,0.9905,1,1,0.729,1,1,1,0.9895,0.697,0.9805
dvdtmax-vrest-APD90-camax-CaTD50,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.777777778,0.833333333,4.3999813,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.210683296,0.938388626,0.777777778,-11.16361655,17.10372283,-10.21728817,31.18998734,35.30239736,-7.095655755,4.275103474,72.39906799,-88.02084897,363.9871979,0.000245491,314.3122396,1.261624597,0.009432504,83.19192952,1.78E-05,14.34918714,1,0.9975,0.6515,0.9985,1,0.9955,0.9965,1,1,0.9835,1,0.9995,0.8415,0.0125,0.993,0.9845,0.093,0.6275,0.9895,1,1,0.714,1,1,1,0.9885,0.7675,0.9785
dvdtmax-vrest-APD90-carest-CaTD50,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,5.49997525,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.211596738,0.938388626,0.805555556,-11.64154917,16.43661319,-6.735316486,31.9949258,36.25097033,-5.793927373,4.389327978,72.39906799,-88.02084897,363.9871979,7.48E-05,314.3122396,1.261624597,0.009432504,83.19192952,9.00E-07,14.34918714,1,0.9975,0.644,0.998,1,0.996,0.996,1,1,0.984,1,1,0.8525,0.0125,0.9935,0.986,0.093,0.652,0.989,1,1,0.7205,1,1,1,0.9885,0.7175,0.9795
dvdtmax-vrest-APD90-carest-CaTD90,0.875,0.6875,0.75,0.945454545,0.73015873,0.875,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,2.142853714,2.999992,0.4000006,0.551020985,0.333334222,0.75,0.615384615,0.6,0.249965639,0.928909953,0.777777778,-17.42529866,14.0456846,-22.84508369,27.72536626,-30.08753371,28.14709522,64.78483532,72.39906799,-88.02084897,363.9871979,7.48E-05,747.0841354,1.261624597,0.009432504,83.19192952,9.00E-07,29.43244193,1,0.998,0.3375,1,1,0.9995,0.995,1,0.9925,0.9905,1,0.998,0.93,0.0075,0.966,0.9955,0.053,1,0.9985,1,0.9985,0.783,1,1,1,0.9995,0.011,0.99
dvdtmax-vrest-APD90-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.945454545,0.761904762,0.895833333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.833333333,6.599938401,2.142853714,4.499979,0.440000616,0.571429,0.30000084,0.666666667,0.6,0.666666667,0.218840929,0.938388626,0.777777778,-17.88786083,11.56696576,2.16933137,31.29068778,34.01734225,-10.54237329,30.64657506,72.39906799,-88.02084897,363.9871979,314.3122396,747.0841354,1.261624597,0.009432504,83.19192952,14.34918714,29.43244193,1,0.995,0.5135,0.9985,1,0.9995,0.9955,1,1,0.9895,1,0.9995,0.902,0.007,0.994,0.989,0.091,0.868,0.997,1,1,0.766,1,1,1,0.998,0.43,0.9835
dvdtmax-vrest-camax-carest-CaTD50,0.8125,0.6875,0.8125,0.927272727,0.746031746,0.916666667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.833333333,6.599938401,2.142853714,4.499979,0.440000616,0.571429,0.30000084,0.666666667,0.6,0.666666667,0.222650732,0.928909953,0.805555556,-7.902977788,12.79058216,-13.97831235,29.11116373,31.56326005,-20.44193278,19.60003681,72.39906799,-88.02084897,0.000245491,7.48E-05,314.3122396,1.261624597,0.009432504,1.78E-05,9.00E-07,14.34918714,1,0.999,0.5995,1,1,0.9865,0.9955,1,0.997,0.9745,1,0.9985,0.8575,0.0145,0.9875,0.987,0.067,0.9015,0.979,0.9995,0.9945,0.7615,1,1,0.9995,0.9565,0.332,0.9695
dvdtmax-vrest-camax-carest-CaTD90,0.8125,0.6875,0.8125,0.927272727,0.746031746,0.895833333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.833333333,8.799914201,2.142853714,4.499979,0.440000616,0.551020985,0.30000084,0.666666667,0.615384615,0.666666667,0.245845049,0.933649289,0.777777778,-19.21443473,12.04293858,-4.075118479,32.88478951,24.94159817,-3.835131757,45.42378791,72.39906799,-88.02084897,0.000245491,7.48E-05,747.0841354,1.261624597,0.009432504,1.78E-05,9.00E-07,29.43244193,1,0.9985,0.4495,1,1,0.9995,0.994,1,0.9985,0.989,1,0.997,0.928,0.004,0.9875,0.995,0.065,0.9985,0.9985,0.9995,0.924,0.7855,1,1,1,0.999,0.005,0.9905
dvdtmax-vrest-carest-CaTD50-CaTD90,0.875,0.6875,0.8125,0.945454545,0.746031746,0.875,0.6,0.571428571,0.75,0.909090909,0.666666667,0.833333333,8.799914201,2.142853714,4.499979,0.4000006,0.551020985,0.30000084,0.75,0.615384615,0.666666667,0.244242295,0.933649289,0.777777778,-21.00866289,9.567295515,-4.319760385,27.5513401,18.10158104,-13.70105512,65.02716454,72.39906799,-88.02084897,7.48E-05,314.3122396,747.0841354,1.261624597,0.009432504,9.00E-07,14.34918714,29.43244193,1,0.9975,0.3775,1,1,1,0.996,1,0.999,0.9915,1,0.9985,0.928,0.0035,0.9815,0.995,0.0675,1,0.9985,1,0.9995,0.798,1,1,1,0.9995,0.016,0.99
dvdtmax-vrest-max_dv-camax-carest,0.8125,0.6875,0.8125,0.927272727,0.793650794,0.9375,0.8,0.428571429,0.75,0.818181818,0.777777778,0.833333333,4.3999813,2.5714215,4.499979,0.244445368,0.714286,0.30000084,0.727272727,0.5,0.666666667,0.225609204,0.933649289,0.777777778,-7.063693392,13.57214938,-7.531431549,25.01845989,28.06218335,-7.237745114,-1.258542896,72.39906799,-88.02084897,-0.298881594,0.000245491,7.48E-05,1.261624597,0.009432504,0.064078571,1.78E-05,9.00E-07,1,0.977,0.7675,0.9765,1,0.9865,0.9995,1,0.997,0.9335,1,0.9995,0.6395,0.0295,0.9835,0.9045,0.0985,0.29,0.9695,1,1,0.6685,1,1,1,0.9435,0.9895,0.937
dvdtmax-vrest-max_dv-camax-CaTD50,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.9375,0.8,0.428571429,0.75,0.818181818,0.777777778,0.833333333,4.3999813,2.5714215,4.499979,0.244445368,0.642857545,0.30000084,0.727272727,0.545454545,0.666666667,0.217738814,0.928909953,0.777777778,-7.379673473,14.56287504,-19.67662894,26.17618549,11.0776637,-0.110667871,11.04854969,72.39906799,-88.02084897,-0.298881594,0.000245491,314.3122396,1.261624597,0.009432504,0.064078571,1.78E-05,14.34918714,1,0.998,0.6945,0.9985,1,0.983,0.9975,1,1,0.964,1,1,0.739,0.018,0.9875,0.978,0.0805,0.445,0.975,1,1,0.687,1,1,1,0.946,0.937,0.963
