"Feature","1","2","3","4","5","6","7","8","9"
"qNet",0.777777778,0.777777778,0.777777778,0.777777778000001,0.777777778000001,0.777777778000001,0.778356481708334,0.777777778,0.777777778
"dvdtmax",0,0.777777778,0.780303030545455,0.778787879018182,0.778362573326316,0.778409091136364,0.777777778,0.777777778,0.777777778
"vmax",0,0.777777778,0.777777778,0.779069767674419,0.778125000225001,0.777777778000001,0.778549382944445,0.777777778,0.777777778
"vrest",0,0.777777778,0.78111111136,0.780595813449276,0.779116466096386,0.778888889120001,0.779513889125,0.777777778,0
"APD50",0,0.777777778,0.777777778,0.777777778,0.777777778000001,0.777777778000001,0.778409091136364,0.777777778,0.777777778
"APD90",0,0.777777778,0.78125000025,0.781400966434783,0.778985507478261,0.778282828509091,0.778846154076923,0.777777778,0
"max_dv",0,0.777777778,0.777777778,0.778490028717949,0.777777778000001,0.778218695111112,0.778673835354839,0.777777778,0.777777778
"camax",0,0.777777778,0.777777778,0.778301887018868,0.778431372776471,0.778481012886077,0.777777778000001,0.777777778,0.777777778
"carest",0,0.777777778,0.779320987888889,0.779040404272728,0.778797146000001,0.778338945232324,0.777777778,0.777777778,0.777777778
"CaTD50",0,0.777777778,0.779761905,0.778395061955556,0.778758170164706,0.778416347609196,0.778356481708334,0.777777778,0.777777778
"CaTD90",0,0.777777778,0.779914530153846,0.780612245142858,0.778112450024097,0.777777778000001,0.777777778000001,0.777777778,0.777777778
