Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,Mean_6,Mean_7,SD_1,SD_2,SD_3,SD_4,SD_5,SD_6,SD_7,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
qNet-dvdtmax-vrest-max_dv-camax-carest-CaTD50,0.875,0.625,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.258587143,0.91943128,0.777777778,-14.52734485,17.0386759,-36.04350321,-20.71133475,10.87260477,0.143616558,-0.305804278,-1.949478278,-1.352641178,64.09733802,72.39906799,-88.02084897,-0.298881594,0.000245491,7.48E-05,314.3122396,12.52235177,1.261624597,0.009432504,0.064078571,1.78E-05,9.00E-07,14.34918714,1,0.998,0.312,1,1,0.998,0.993,1,0.9245,0.9865,0.999,0.999,0.9205,0.0095,0.9405,0.999,0.0145,0.9965,0.9975,0.9995,0.9865,0.837,1,1,0.999,0.995,0.0035,0.99
qNet-vmax-APD50-APD90-carest-CaTD50-CaTD90,0.875,0.625,0.75,0.945454545,0.714285714,0.84375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.642857545,0.333334222,0.75,0.571428571,0.6,0.257139135,0.924170616,0.777777778,-27.92595042,4.011483413,-39.08462483,8.266227174,-57.08625025,71.24432481,3.308565616,-30.45677062,43.26905953,64.09733802,41.22437831,286.8620938,363.9871979,7.48E-05,314.3122396,747.0841354,12.52235177,0.812209574,53.76993945,83.19192952,9.00E-07,14.34918714,29.43244193,1,0.997,0.293,1,1,1,0.9965,1,0.955,0.992,1,0.9975,0.94,0.0025,0.9585,0.999,0.03,1,0.9985,0.9995,0.9035,0.883,1,1,1,1,0.002,0.9915
qNet-vmax-APD50-APD90-max_dv-camax-CaTD50,0.8125,0.5625,0.6875,0.945454545,0.666666667,0.84375,0.6,0.428571429,0.75,0.909090909,0.666666667,0.666666667,6.599938401,1.285713429,2.24999625,0.440000616,0.857143071,0.375000937,0.666666667,0.461538462,0.545454545,0.299965413,0.91943128,0.777777778,-66.45433002,20.45527765,-67.45051941,15.56253537,54.82516142,-94.32265911,84.80730948,0.696884049,-17.57133877,64.09733802,41.22437831,286.8620938,363.9871979,-0.298881594,0.000245491,314.3122396,12.52235177,0.812209574,53.76993945,83.19192952,0.064078571,1.78E-05,14.34918714,1,1,0.742,1,1,0.997,1,1,0.599,1,0.5855,0.9995,0.9755,0,0.5385,0.887,0,0.954,0.6985,1,1,0.4155,1,1,1,0.5895,0.0565,0.672
qNet-vmax-APD50-camax-carest-CaTD50-CaTD90,0.875,0.625,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.257613167,0.91943128,0.777777778,-26.31407656,8.617174386,-45.65459449,-10.33687666,-68.29390559,23.63647924,22.19479434,-16.25331529,86.51391102,64.09733802,41.22437831,286.8620938,0.000245491,7.48E-05,314.3122396,747.0841354,12.52235177,0.812209574,53.76993945,1.78E-05,9.00E-07,14.34918714,29.43244193,1,0.9985,0.305,1,1,1,0.991,1,0.9465,0.992,0.9965,0.997,0.9365,0.0035,0.941,1,0.0205,1,0.9955,0.9995,0.97,0.84,1,1,0.997,1,0.002,0.9925
qNet-vmax-APD50-max_dv-camax-carest-CaTD50,0.8125,0.625,0.75,0.945454545,0.698412698,0.833333333,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.4000006,0.734694219,0.333334222,0.727272727,0.5,0.6,0.251509954,0.91943128,0.777777778,-19.73634474,11.36847606,-37.88557233,-3.173993647,37.77773332,-3.083880329,-22.42731908,6.67003123,-22.87881317,64.09733802,41.22437831,286.8620938,-0.298881594,0.000245491,7.48E-05,314.3122396,12.52235177,0.812209574,53.76993945,0.064078571,1.78E-05,9.00E-07,14.34918714,1,0.9975,0.3185,1,0.9985,0.9985,0.981,0.996,0.8845,0.9885,0.9945,0.997,0.9045,0.002,0.9255,1,0.003,0.9135,0.9895,1,1,0.8305,1,1,1,0.9975,0.281,0.988
qNet-vmax-APD50-max_dv-camax-carest-CaTD90,0.8125,0.625,0.75,0.945454545,0.714285714,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.571428571,0.6,0.258367824,0.924170616,0.777777778,-26.57490163,8.377463196,-45.69572791,-8.451461515,-130.4540586,12.40007602,67.43090647,10.81727965,108.6896999,64.09733802,41.22437831,286.8620938,-0.298881594,0.000245491,7.48E-05,747.0841354,12.52235177,0.812209574,53.76993945,0.064078571,1.78E-05,9.00E-07,29.43244193,1,0.9995,0.3145,1,1,0.9995,0.993,1,0.96,0.9895,0.999,0.9975,0.934,0.003,0.945,0.9995,0.028,1,0.997,0.9995,0.9395,0.8255,1,1,0.9975,1,0.0025,0.993
qNet-vmax-APD50-max_dv-camax-CaTD50-CaTD90,0.8125,0.625,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.571428571,0.6,0.264217344,0.91943128,0.777777778,-31.48505998,3.842759911,-46.34298045,-1.589730445,-102.4992439,22.00207696,58.87294925,-15.52184072,98.06370599,64.09733802,41.22437831,286.8620938,-0.298881594,0.000245491,314.3122396,747.0841354,12.52235177,0.812209574,53.76993945,0.064078571,1.78E-05,14.34918714,29.43244193,1,0.9985,0.278,1,1,1,0.9925,1,0.9475,0.9905,0.999,0.997,0.94,0.003,0.9395,1,0.0265,1,0.9975,0.999,0.891,0.8315,1,1,0.999,1,0.002,0.993
qNet-vmax-APD50-max_dv-carest-CaTD50-CaTD90,0.875,0.6875,0.75,0.945454545,0.714285714,0.84375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,2.142853714,2.999992,0.4000006,0.642857545,0.333334222,0.75,0.571428571,0.6,0.255911967,0.924170616,0.777777778,-24.77529872,8.431712201,-41.25469971,-8.839971376,-37.69293457,1.165975095,25.85583163,-23.46496382,68.72832666,64.09733802,41.22437831,286.8620938,-0.298881594,7.48E-05,314.3122396,747.0841354,12.52235177,0.812209574,53.76993945,0.064078571,9.00E-07,14.34918714,29.43244193,1,0.997,0.3045,1,1,1,0.992,1,0.953,0.9925,0.9965,0.998,0.934,0.0035,0.94,1,0.021,1,0.995,1,0.9985,0.8225,1,1,0.9995,1,0.0095,0.992
qNet-vmax-APD90-camax-carest-CaTD50-CaTD90,0.8125,0.625,0.75,0.927272727,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.571428571,0.6,0.251921191,0.924170616,0.777777778,-45.05546393,-12.91244096,-35.12537242,10.18332214,55.85643756,-5.836433993,-3.449146541,-56.70744833,58.55225673,64.09733802,41.22437831,363.9871979,0.000245491,7.48E-05,314.3122396,747.0841354,12.52235177,0.812209574,83.19192952,1.78E-05,9.00E-07,14.34918714,29.43244193,1,0.9965,0.4455,1,1,1,0.992,0.9975,0.941,0.992,0.999,0.997,0.9355,5.00E-04,0.9465,0.999,0.0185,0.992,0.997,0.9995,0.9825,0.84,1,0.946,1,1,0.007,0.9905
qNet-vmax-max_dv-camax-carest-CaTD50-CaTD90,0.875,0.625,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.257044013,0.924170616,0.777777778,-33.86216225,-0.699865851,-38.56801262,-3.848553094,-0.736911787,-6.124492818,18.16545007,-39.59439138,69.30983303,64.09733802,41.22437831,-0.298881594,0.000245491,7.48E-05,314.3122396,747.0841354,12.52235177,0.812209574,0.064078571,1.78E-05,9.00E-07,14.34918714,29.43244193,1,0.997,0.332,1,1,1,0.9865,0.9985,0.917,0.991,0.995,0.997,0.935,0.002,0.9345,1,0.012,1,0.9925,1,0.9975,0.8335,1,1,0.9995,1,0.0075,0.991
qNet-vmax-vrest-APD50-APD90-camax-CaTD50,0.8125,0.625,0.75,0.927272727,0.682539683,0.854166667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.571428571,0.6,0.238078941,0.928909953,0.777777778,-25.06317438,4.884437737,-61.43761004,9.93340391,-24.73567305,-136.7627483,152.4048099,-3.922040276,-22.34775427,64.09733802,41.22437831,-88.02084897,286.8620938,363.9871979,0.000245491,314.3122396,12.52235177,0.812209574,0.009432504,53.76993945,83.19192952,1.78E-05,14.34918714,1,0.997,0.4895,1,1,0.9995,0.995,0.9975,0.954,0.9895,1,0.9975,0.91,0.0015,0.9655,0.997,0.0265,0.899,0.998,0.9995,1,0.765,1,0.9305,1,0.9995,0.3325,0.99
qNet-vmax-vrest-APD50-APD90-carest-CaTD90,0.8125,0.625,0.75,0.945454545,0.73015873,0.895833333,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,5.49997525,2.142853714,2.999992,0.4000006,0.642857679,0.333334222,0.727272727,0.545454545,0.6,0.220919073,0.928909953,0.777777778,-12.90330449,14.14562185,-10.96928348,-0.622115431,16.34546854,16.91194564,5.941035038,-0.138800503,2.768165481,64.09733802,41.22437831,-88.02084897,286.8620938,363.9871979,7.48E-05,747.0841354,12.52235177,0.812209574,0.009432504,53.76993945,83.19192952,9.00E-07,29.43244193,1,0.9995,0.523,1,1,0.996,0.996,1,0.977,0.9825,1,0.9965,0.8575,0.0015,0.9475,0.9975,0.0405,0.7335,0.999,1,1,0.785,1,1,1,0.995,0.676,0.9815
qNet-vmax-vrest-APD50-APD90-CaTD50-CaTD90,0.8125,0.625,0.75,0.927272727,0.682539683,0.854166667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.571428571,0.6,0.255130535,0.924170616,0.777777778,-31.25946226,0.285251295,-62.82434687,13.90931468,-23.51281189,-142.5526857,156.4325417,-33.46753911,24.66350308,64.09733802,41.22437831,-88.02084897,286.8620938,363.9871979,314.3122396,747.0841354,12.52235177,0.812209574,0.009432504,53.76993945,83.19192952,14.34918714,29.43244193,1,0.997,0.3975,1,1,1,0.995,0.9975,0.948,0.991,1,0.9975,0.9365,0.0015,0.966,0.997,0.025,0.9935,0.998,0.9995,0.972,0.843,1,0.901,1,1,0.0205,0.992
qNet-vmax-vrest-APD50-APD90-max_dv-CaTD50,0.8125,0.5625,0.6875,0.909090909,0.714285714,0.875,0.6,0.142857143,1,0.818181818,0.777777778,0.583333333,4.3999813,1.285711714,2.39999664,0.440000616,0.964285754,1.71E-06,0.666666667,0.222222222,0.615384615,0.296284358,0.928909953,0.805555556,-33.22624835,15.82359854,10.80043631,-21.79778568,118.8267762,-63.33036942,206.0091039,-15.6534538,20.86779825,64.09733802,41.22437831,-88.02084897,286.8620938,363.9871979,-0.298881594,314.3122396,12.52235177,0.812209574,0.009432504,53.76993945,83.19192952,0.064078571,14.34918714,1,0.9995,0.989,1,1,0.9985,1,1,0.8015,0.9485,0.388,0.45,0.755,0,0.4035,0.097,0.002,0.4825,0.94,1,1,0.585,1,1,1,0.465,0.8875,0.9955
qNet-vmax-vrest-max_dv-camax-carest-CaTD50,0.8125,0.625,0.75,0.927272727,0.682539683,0.854166667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.727272727,0.545454545,0.6,0.248457466,0.924170616,0.777777778,-17.01649533,12.28805468,-29.61625988,2.756113878,9.530665796,11.24745448,27.38794637,-22.99998966,-3.095040429,64.09733802,41.22437831,-88.02084897,-0.298881594,0.000245491,7.48E-05,314.3122396,12.52235177,0.812209574,0.009432504,0.064078571,1.78E-05,9.00E-07,14.34918714,1,0.9985,0.328,1,1,0.997,0.99,1,0.9235,0.986,0.9975,0.996,0.9015,0.003,0.9345,1,0.016,0.926,0.9975,0.9995,0.997,0.827,1,0.9985,1,0.994,0.251,0.984
qNet-vrest-APD50-APD90-carest-CaTD50-CaTD90,0.875,0.6875,0.75,0.945454545,0.714285714,0.854166667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,2.142853714,2.999992,0.4000006,0.551020985,0.333334222,0.75,0.615384615,0.6,0.250029339,0.928909953,0.777777778,-25.40225847,6.552879549,-42.48661608,-1.495476053,-60.51860976,55.42798161,10.43399919,-24.60347084,44.11930723,64.09733802,-88.02084897,286.8620938,363.9871979,7.48E-05,314.3122396,747.0841354,12.52235177,0.009432504,53.76993945,83.19192952,9.00E-07,14.34918714,29.43244193,1,0.997,0.357,1,1,1,0.9955,1,0.9615,0.992,1,0.998,0.9355,0.003,0.956,0.9995,0.03,1,0.9985,0.9995,0.9985,0.8315,1,1,1,1,0.0055,0.991
