Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,Mean_6,Mean_7,SD_1,SD_2,SD_3,SD_4,SD_5,SD_6,SD_7,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
qNet-dvdtmax-vmax-APD90-carest-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.945454545,0.825396825,0.916666667,0.8,0.571428571,0.75,0.818181818,0.777777778,0.75,5.49997525,2.5714215,3.999988,0.244445368,0.571429,0.30000084,0.727272727,0.6,0.666666667,0.172228002,0.962085308,0.708333333,-34.23472424,5.258580685,-67.99439605,78.78670874,-18.57676971,8.351895024,78.33940634,-123.1087087,218.718213,63.95253604,72.03390709,40.81753408,364.2659437,7.28E-05,327.3555683,768.6720229,15.85634121,2.416227739,1.184759215,92.85975461,3.84E-06,22.17761135,46.44521373,0.9985,1,0.4095,0.9985,1,1,0.977,1,0.8675,0.9975,0.9905,0.835,0.971,1,0.7435,1,0.2125,0.7675,0.9955,1,0.9875,0.9885,1,1,1,0.997,0.529,0.9995
qNet-dvdtmax-vmax-camax-carest-CaTD50-CaTD90,0.8125,0.625,0.8125,0.909090909,0.793650794,0.927083333,0.8,0.428571429,0.75,0.818181818,0.777777778,0.75,4.3999813,1.92856725,3.999988,0.275000997,0.734694219,0.30000084,0.727272727,0.5,0.666666667,0.212579763,0.952606635,0.666666667,-19.82201842,19.67620928,-65.29564063,63.18697832,-21.46213315,-37.00245881,132.4059083,-108.1579583,194.2838488,63.97825074,72.02405995,40.79794507,0.000222524,7.28E-05,327.3362708,768.6722188,15.86819615,2.434174718,1.331177912,3.76E-05,3.85E-06,22.17423484,46.4212134,0.9985,1,0.43,0.998,1,1,0.9745,1,0.8735,0.998,0.992,0.856,0.9795,0.361,0.7425,1,0.211,0.809,0.9935,1,0.984,0.9915,1,1,1,0.9975,0.4335,1
qNet-dvdtmax-vmax-max_dv-carest-CaTD50-CaTD90,0.8125,0.625,0.75,0.945454545,0.785714286,0.854166667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.666666667,6.599938401,1.714283571,2.999994,0.440000616,0.734694219,0.30000084,0.666666667,0.5,0.666666667,0.290897544,0.957227488,0.666666667,-54.65565626,109.1020606,-131.0497483,-47.72292326,178.4451778,22.45533816,92.30330839,-7.586796351,122.5985619,63.95253604,72.03390709,40.81753408,-0.292902106,7.28E-05,327.3555683,768.6720229,15.85634121,2.416227739,1.184759215,0.063732419,3.84E-06,22.17761135,46.44521373,1,1,0.9675,1,1,0.999,0.999,1,0.4305,1,0.5055,0.957,0.971,0.626,0.261,0.989,0.0805,0.999,0.516,1,0.0215,0.9975,1,1,1,0.766,0.1135,1
qNet-dvdtmax-vmax-vrest-APD50-APD90-camax,0.8125,0.6875,0.8125,0.854545455,0.825396825,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.551020985,1.33E-06,0.666666667,0.615384615,0.727272727,0.201488648,0.924170616,0.75,-10.23630296,28.10304941,-64.75796866,-0.162702126,-0.000954524,12.95932837,-93.5292759,83.78065465,-4.657779501,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,0.000222565,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,3.76E-05,1,1,0.987,0.996,1,1,0.9955,1,0.949,0.9985,1,0.975,0.9965,0.9585,0.826,0.999,0.1375,0.7845,0.996,1,1,0,1,1,1,0.9985,0.47,1
qNet-dvdtmax-vmax-vrest-APD50-APD90-carest,0.8125,0.6875,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.551020985,1.33E-06,0.666666667,0.615384615,0.727272727,0.208368902,0.928909953,0.75,-10.69850935,30.19517595,-54.73332031,1.195543479,0.270638207,37.56666511,-47.71968469,55.52156052,-26.02270888,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,7.28E-05,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,3.84E-06,1,1,0.9865,0.9955,1,1,0.996,1,0.948,0.999,1,0.9775,0.997,0.8955,0.8095,0.999,0.141,0.8215,0.9975,1,0.997,0,1,1,1,0.9985,0.3505,1
qNet-dvdtmax-vmax-vrest-APD50-APD90-CaTD50,0.8125,0.6875,0.8125,0.836363636,0.825396825,0.927083333,0.6,0.571428571,0.75,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.551020985,0.272728066,0.666666667,0.615384615,0.666666667,0.243778454,0.914691943,0.666666667,4.958593989,69.34260723,-56.95471663,-14.42747315,-15.02597345,96.82670005,30.6357316,-36.71376825,30.06409928,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,327.3555683,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,22.17761135,1,1,0.969,0.9955,1,0.999,0.992,1,0.947,0.999,1,0.9675,0.9985,0.894,0.801,0.999,0.1185,0.8505,0.997,1,0.9925,0,1,1,1,0.9985,0.258,1
qNet-dvdtmax-vmax-vrest-APD50-APD90-CaTD90,0.8125,0.6875,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.551020985,1.33E-06,0.666666667,0.615384615,0.727272727,0.20055407,0.924170616,0.75,-9.596600594,29.09329944,-65.15161039,2.355954092,-1.214141283,13.92698198,-94.57327063,80.79034927,5.170371319,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,768.6720229,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,46.44521373,1,1,0.985,0.996,1,1,0.9955,1,0.9485,0.999,1,0.979,0.998,0.944,0.825,0.999,0.139,0.812,0.9965,1,1,0,1,1,1,0.999,0.3905,1
qNet-dvdtmax-vmax-vrest-APD50-camax-carest,0.8125,0.6875,0.8125,0.890909091,0.777777778,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.551020985,1.33E-06,0.666666667,0.615384615,0.727272727,0.204361516,0.933649289,0.75,-6.796820437,33.16016162,-33.92837726,6.672938767,-3.913339733,67.26053973,32.01196344,-5.884094443,-38.63494832,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,0.000222565,7.28E-05,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,3.76E-05,3.84E-06,1,1,0.9895,0.9955,1,1,0.9955,1,0.95,0.999,1,0.9775,0.9965,0.765,0.7985,0.999,0.1335,0.81,0.9965,1,0.997,0,1,1,1,0.999,0.389,1
qNet-dvdtmax-vmax-vrest-APD50-carest-CaTD50,0.8125,0.6875,0.8125,0.872727273,0.777777778,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.551020985,1.33E-06,0.666666667,0.615384615,0.727272727,0.208689331,0.933649289,0.75,-7.054755818,33.04343285,-34.09680725,6.562144567,-3.317809443,67.60326849,30.28642147,-45.01321505,1.254143339,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,7.28E-05,327.3555683,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,3.84E-06,22.17761135,1,1,0.9875,0.9955,1,1,0.9955,1,0.9485,0.999,1,0.9735,0.9965,0.735,0.7935,0.999,0.137,0.8165,0.997,1,0.996,0,1,1,1,0.999,0.361,1
qNet-dvdtmax-vmax-vrest-APD50-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.890909091,0.777777778,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.551020985,1.33E-06,0.666666667,0.615384615,0.727272727,0.203236165,0.938388626,0.75,-25.98329757,12.85507634,-31.12139403,2.022111945,-0.199002274,65.77089059,29.26901622,-51.77047385,113.1099715,63.95253604,72.03390709,40.81753408,-88.03022061,287.2062878,327.3555683,768.6720229,15.85634121,2.416227739,1.184759215,0.020798121,64.31807536,22.17761135,46.44521373,1,1,0.981,0.9955,1,1,0.9955,1,0.9535,0.999,0.999,0.978,0.995,0.807,0.7965,0.999,0.1485,0.851,0.998,1,0.9945,0,1,1,1,0.999,0.321,1
