Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Mean_1,Mean_2,Mean_3,SD_1,SD_2,SD_3,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
vmax-APD50-CaTD90,0.8125,0.625,0.75,0.927272727,0.793650794,0.916666667,1,0.142857143,0.75,0.727272727,0.888888889,0.75,3.666656889,2.571414429,2.999994,1.38E-06,0.857143,0.30000084,0.769230769,0.25,0.666666667,0.275721538,0.933649289,0.75,-2.380169213,8.316067719,20.4782518,13.96677636,9.619208311,40.81753408,287.2062878,768.6720229,1.184759215,64.31807536,46.44521373,0.9995,1,0.9525,0.9995,1,0.988,0.7975,1,0.884,0.976,0.998,0.309,0.277,5.00E-04,0.799,0.939,0.1105,0.3465,0.832,1,1,1,1,1,1,0.733,0.988,0.9995
vmax-APD90-camax,0.8125,0.625,0.8125,0.945454545,0.825396825,0.916666667,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142858.0682,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.271564376,0.933649289,0.833333333,-2.295355272,6.246982299,18.15460413,18.50276558,-8.292095421,40.81753408,364.2659437,0.000222565,1.184759215,92.85975461,3.76E-05,1,1,0.9985,0.993,1,0.9735,0.882,1,0.9485,0.9185,1,0.4195,0.203,0.0015,0.8545,0.9405,0.1105,0.1975,0.8805,1,1,1,1,1,1,0.5885,0.999,0.9975
vmax-APD90-carest,0.8125,0.625,0.8125,0.927272727,0.793650794,0.916666667,1,0.142857143,0.75,0.727272727,0.888888889,0.75,3.666656889,2.571414429,3.999988,1.38E-06,0.857143,0.30000084,0.769230769,0.25,0.666666667,0.292364826,0.933649289,0.75,-2.928476313,5.989910015,21.83198858,19.26827837,-12.32435066,40.81753408,364.2659437,7.28E-05,1.184759215,92.85975461,3.84E-06,0.999,1,0.9625,0.997,1,0.9735,0.8925,1,0.9145,0.9335,0.998,0.164,0.182,0.004,0.806,0.9245,0.144,0.2275,0.9225,1,1,1,1,1,1,0.6205,0.998,0.997
vmax-APD90-CaTD50,0.8125,0.625,0.8125,0.945454545,0.825396825,0.916666667,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142858.0344,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.287055978,0.933649289,0.833333333,-1.240019801,6.266807274,12.5981318,10.63783892,4.15795406,40.81753408,364.2659437,327.3555683,1.184759215,92.85975461,22.17761135,1,1,0.9985,0.9985,1,0.9625,0.898,1,0.9465,0.804,1,0.3,0.179,0,0.849,0.9595,0.102,0.112,0.91,1,1,1,1,1,1,0.485,0.999,0.9995
vmax-APD90-CaTD90,0.8125,0.625,0.8125,0.945454545,0.80952381,0.916666667,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142857.9495,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.264091233,0.933649289,0.833333333,-2.39028228,7.459826912,21.09625662,12.27902542,11.17799834,40.81753408,364.2659437,768.6720229,1.184759215,92.85975461,46.44521373,1,1,0.9925,0.9945,1,0.9825,0.8365,1,0.9285,0.977,0.9995,0.4345,0.2455,0,0.832,0.9305,0.1085,0.3185,0.847,1,1,1,1,1,1,0.6935,0.9915,0.997
vmax-camax-CaTD50,0.8125,0.625,0.8125,0.963636364,0.777777778,0.916666667,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142858.061,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.287370134,0.91943128,0.833333333,-0.633071629,4.969912488,4.893830961,9.277729591,9.389181197,40.79794507,0.000222524,327.3362708,1.331177912,3.76E-05,22.17423484,1,1,1,0.999,1,0.9025,0.8875,1,0.954,0.378,1,0.393,0.1815,0,0.8685,0.9915,0.0465,0.0375,0.8845,1,1,1,1,1,1,0.2125,1,0.986
vmax-camax-CaTD90,0.8125,0.625,0.75,0.927272727,0.777777778,0.916666667,0.8,0.142857143,0.75,0.727272727,0.888888889,0.666666667,3.666656889,1.92856725,2.999992,0.244445368,0.857143,0.333334222,0.727272727,0.25,0.6,0.284865674,0.933649289,0.666666667,-1.317898268,9.75253458,25.58231003,17.31463056,29.54199304,40.79794507,0.000222524,768.6722188,1.331177912,3.76E-05,46.4212134,0.999,1,0.912,0.9975,1,0.993,0.813,1,0.861,0.9805,0.996,0.2055,0.2765,0,0.775,0.926,0.1195,0.41,0.873,1,1,1,1,1,1,0.7655,0.9625,1
vmax-carest-CaTD50,0.8125,0.6875,0.8125,0.981818182,0.761904762,0.875,1,0.285714286,1,0.727272727,1,0.75,3.666656889,142858.279,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.247859032,0.909952607,0.791666667,-0.449003757,4.261949433,1.050080156,10.44935332,7.720452335,40.79794507,7.28E-05,327.3362708,1.331177912,3.85E-06,22.17423484,1,1,1,0.9895,0.9795,0.857,0.8375,1,0.9445,0.374,0.9995,0.923,0.2835,0,0.9335,0.996,0.007,0.04,0.796,1,1,1,1,1,1,0.105,1,0.974
vmax-carest-CaTD90,0.8125,0.625,0.8125,0.945454545,0.825396825,0.916666667,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142858.0173,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.254123435,0.938388626,0.833333333,0.814137539,11.02152196,18.51136015,23.7900959,27.310902,40.79794507,7.28E-05,768.6722188,1.331177912,3.85E-06,46.4212134,1,1,0.9965,0.989,1,0.9845,0.817,1,0.941,0.975,0.9995,0.551,0.2845,0.0015,0.8445,0.9445,0.088,0.3135,0.8155,1,1,1,1,1,1,0.713,0.9895,1
vmax-max_dv-camax,0.8125,0.625,0.8125,0.963636364,0.873015873,0.9375,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142857.9896,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.291987894,0.933649289,0.833333333,-1.168270079,4.023502046,9.13141347,8.321556673,-2.166580638,40.81753408,-0.292902106,0.000222565,1.184759215,0.063732419,3.76E-05,1,1,0.9955,0.998,1,0.9235,0.948,1,0.9455,0.423,0.9995,0.274,0.0905,0.144,0.805,0.9615,0.1375,0.0155,0.9705,1,1,1,1,1,1,0.2435,1,0.997
