Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,SD_1,SD_2,SD_3,SD_4,SD_5,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
APD50-APD90-camax-carest-CaTD90,0.75,0.5625,0.75,0.890909091,0.682539683,0.875,0.6,0.285714286,1,0.818181818,0.777777778,0.666666667,3.29998735,1.285713,2.999994,0.488889514,0.918367452,1.50E-06,0.6,0.363636364,0.666666667,0.289169775,0.91943128,0.666666667,-0.193096292,11.9087067,-104.204204,-63.50050641,173.2228188,81.70500909,263.0760073,287.2062878,364.2659437,0.000222565,7.28E-05,768.6720229,64.31807536,92.85975461,3.76E-05,3.84E-06,46.44521373,1,1,0.9885,0.9935,1,1,0.799,1,0.8415,0.9625,0.968,0.7165,0.633,0,0.742,0.9395,0.0455,0.892,0.9025,1,0.3155,1,1,1,1,0.871,0.278,1
APD50-APD90-carest-CaTD50-CaTD90,0.875,0.6875,0.8125,0.981818182,0.80952381,0.916666667,1,0.285714286,1,0.818181818,1,0.75,5.49997525,285714.9327,3.999988,1.22E-06,0.714286,1.33E-06,0.833333333,0.444444444,0.727272727,0.242012957,0.914691943,0.875,-17.17951079,14.49048156,25.58856161,-30.2346948,95.58441431,52.2594701,32.41495888,287.2062878,364.2659437,7.28E-05,327.3555683,768.6720229,64.31807536,92.85975461,3.84E-06,22.17761135,46.44521373,1,1,1,0.9955,1,0.9975,0.967,1,0.904,0.4995,0.9995,0.99,0.407,0,0.8175,0.9475,0,0.084,0.324,1,1,1,1,1,1,0.1195,1,0.731
dvdtmax-APD50-camax-carest-CaTD50,0.75,0.6875,0.875,0.927272727,0.80952381,0.916666667,1,0.285714286,0.75,0.636363636,1,0.833333333,2.749995188,285714.5857,5.99997,1.57E-06,0.714286,0.272728066,0.714285714,0.444444444,0.75,0.242564318,0.928909953,0.791666667,1.568826926,7.279654517,0.164413758,26.59266629,-56.45562007,60.1997169,-12.11632015,72.03390709,287.2062878,0.000222565,7.28E-05,327.3555683,2.416227739,64.31807536,3.76E-05,3.84E-06,22.17761135,1,1,0.998,0.953,0.9735,0.997,0.755,1,0.934,0.531,0.9945,0.8525,0.362,0.014,0.952,0.985,0.0425,0.0805,0.7785,1,1,1,0.993417722,1,1,0.248,1,1
dvdtmax-APD50-camax-carest-CaTD90,0.75,0.625,0.8125,0.872727273,0.698412698,0.875,0.6,0.428571429,1,0.818181818,0.777777778,0.75,3.29998735,1.92856725,3.999988,0.488889514,0.734694219,1.33E-06,0.6,0.5,0.727272727,0.266511946,0.90521327,0.666666667,-5.431020551,2.267787352,-11.47597789,-166.0061224,160.5544959,83.33238159,257.3345934,72.03390709,287.2062878,0.000222565,7.28E-05,768.6720229,2.416227739,64.31807536,3.76E-05,3.84E-06,46.44521373,1,1,1,0.9185,1,1,0.8955,1,0.9485,0.912,0.9725,0.9545,0.553,0,0.933,0.896,0.024,0.7475,0.9605,1,0.3295,1,0.99443038,1,0.9465,0.6045,0.3765,0.9925
dvdtmax-APD50-carest-CaTD50-CaTD90,0.75,0.625,0.8125,0.890909091,0.80952381,0.958333333,0.6,0.428571429,1,0.818181818,0.777777778,0.75,3.29998735,1.92856725,3.999988,0.488889514,0.734694219,1.33E-06,0.6,0.5,0.727272727,0.221869712,0.938388626,0.708333333,-33.08412137,-24.86123621,-4.130511768,-32.95546356,154.5581972,-105.3950435,277.0938141,72.03390709,287.2062878,7.28E-05,327.3555683,768.6720229,2.416227739,64.31807536,3.84E-06,22.17761135,46.44521373,1,1,0.997,0.9595,1,1,0.807,1,0.9265,0.8985,0.941,0.9875,0.6875,0.2225,0.954,0.908,0.102,0.737,0.9375,1,0.4695,1,0.997974684,1,0.9965,0.643,0.4425,1
dvdtmax-camax-carest-CaTD50-CaTD90,0.75,0.6875,0.875,0.890909091,0.825396825,0.958333333,0.6,0.428571429,0.75,0.727272727,0.777777778,0.833333333,2.933326244,2.5714215,5.99997,0.488889514,0.642857545,0.272728066,0.6,0.545454545,0.75,0.174405165,0.938388626,0.666666667,-35.6503902,-27.9137135,1.746106236,-27.92587216,141.6579356,-113.0263727,245.3801687,72.02405995,0.000222524,7.28E-05,327.3362708,768.6722188,2.434174718,3.76E-05,3.85E-06,22.17423484,46.4212134,1,1,0.9675,0.971,1,1,0.7865,1,0.9245,0.8675,0.9455,0.9885,0.6645,0.7585,0.9545,0.918,0.1475,0.6955,0.924,1,0.659,1,0.9985,1,0.997,0.5935,0.5185,1
dvdtmax-vmax-max_dv-camax-carest,0.75,0.5625,0.8125,0.909090909,0.777777778,0.916666667,1,0.142857143,0.75,0.636363636,0.888888889,0.75,2.749995188,1.285711714,3.999988,1.57E-06,0.964285754,0.30000084,0.714285714,0.222222222,0.666666667,0.288752387,0.933649289,0.75,0.955182552,13.21254475,-30.32140777,37.88218768,13.6113826,-25.67165522,21.38005352,72.03390709,40.81753408,-0.292902106,0.000222565,7.28E-05,2.416227739,1.184759215,0.063732419,3.76E-05,3.84E-06,0.9975,1,0.712,0.988,1,0.9865,0.8685,1,0.8735,0.978,0.994,0.3315,0.2685,0.0725,0.685,0.9335,0.206,0.323,0.8935,1,1,1,0.986329114,1,1,0.839,0.9895,1
dvdtmax-vmax-max_dv-CaTD50-CaTD90,0.75,0.5625,0.75,0.909090909,0.761904762,0.916666667,0.8,0.142857143,0.75,0.636363636,0.777777778,0.75,2.749995188,1.285713,2.999992,0.275000997,0.918367452,0.333334222,0.666666667,0.25,0.6,0.258463129,0.933649289,0.666666667,-3.202264665,10.0233015,-27.54452124,40.07957591,8.064519564,-1.255235467,15.28168407,72.03390709,40.81753408,-0.292902106,327.3555683,768.6720229,2.416227739,1.184759215,0.063732419,22.17761135,46.44521373,0.9975,1,0.4485,0.996,1,0.9995,0.8215,1,0.8105,0.99,0.972,0.2265,0.358,0.7975,0.66,0.926,0.218,0.551,0.924,1,1,0.9995,0.993924051,1,1,0.8915,0.874,1
dvdtmax-vmax-vrest-APD50-camax,0.75,0.6875,0.875,0.890909091,0.793650794,0.9375,0.6,0.428571429,1,0.727272727,0.777777778,0.833333333,3.290820822,2.5714215,5.99997,0.488889514,0.642857545,1.20E-06,0.6,0.545454545,0.8,0.182948059,0.947867299,0.75,0.478308564,34.64921699,-37.81729904,29.36748914,80.65459513,62.89591527,-49.96591314,72.03390709,40.81753408,-88.03022061,287.2062878,0.000222565,2.416227739,1.184759215,0.020798121,64.31807536,3.76E-05,1,1,0.989,0.991,1,1,0.996,1,0.9605,0.9965,0.9995,0.875,0.891,0.6385,0.777,0.998,0.18,0.6205,0.996,1,1,0.418,1,1,1,0.9955,0.7905,1
dvdtmax-vmax-vrest-APD50-carest,0.8125,0.6875,0.8125,0.854545455,0.777777778,0.9375,0.6,0.567857143,1,0.818181818,0.777777778,0.75,4.3999813,2.5714215,3.999988,0.440000616,0.571429,1.33E-06,0.666666667,0.6,0.727272727,0.210269177,0.924170616,0.708333333,-14.016402,20.98525156,-33.08868665,29.6599859,92.3793296,69.11146997,-86.6441898,72.03390709,40.81753408,-88.03022061,287.2062878,7.28E-05,2.416227739,1.184759215,0.020798121,64.31807536,3.84E-06,1,1,0.9895,0.9935,1,1,0.995,1,0.959,0.997,0.9995,0.919,0.95,0.8215,0.7715,0.999,0.197,0.7595,0.999,1,0.994,0,1,1,1,0.9955,0.5605,0.9995
dvdtmax-vmax-vrest-APD50-CaTD50,0.75,0.6875,0.8125,0.909090909,0.80952381,0.9375,0.6,0.428571429,1,0.818181818,0.777777778,0.75,3.29998735,2.5714215,3.999988,0.440000616,0.642857545,1.33E-06,0.666666667,0.545454545,0.727272727,0.177869964,0.952606635,0.75,13.05299056,45.13098678,-39.85109984,27.23690239,71.93458297,9.153866318,34.98876314,72.03390709,40.81753408,-88.03022061,287.2062878,327.3555683,2.416227739,1.184759215,0.020798121,64.31807536,22.17761135,1,1,0.996,0.989,1,0.9995,0.996,1,0.9635,0.993,0.9995,0.837,0.8465,0.819,0.768,0.998,0.151,0.5515,0.995,1,1,0.452,0.999493671,1,1,0.991,0.836,1
dvdtmax-vmax-vrest-APD90-camax,0.75,0.6875,0.875,0.890909091,0.80952381,0.9375,0.8,0.285714286,1,0.636363636,0.888888889,0.833333333,2.749995188,3.857117143,5.99997,0.275000997,0.714286,1.20E-06,0.666666667,0.444444444,0.8,0.192028807,0.952606635,0.75,0.434348099,26.76668394,-45.06168188,44.31817821,55.33380535,50.541232,-42.57840442,72.03390709,40.81753408,-88.03022061,364.2659437,0.000222565,2.416227739,1.184759215,0.020798121,92.85975461,3.76E-05,0.9995,1,0.9885,0.9745,1,1,0.9965,1,0.964,0.9935,0.9985,0.7535,0.69,0.2095,0.774,0.988,0.2405,0.554,0.9975,1,1,0.9565,0.998987342,1,1,0.985,0.866,1
dvdtmax-vmax-vrest-APD90-CaTD50,0.8125,0.6875,0.8125,0.909090909,0.825396825,0.9375,0.6,0.428571429,1,0.818181818,0.777777778,0.75,3.666656889,3.21427575,3.999988,0.440000616,0.642857545,1.33E-06,0.666666667,0.545454545,0.727272727,0.166826166,0.957345972,0.75,12.90305023,44.27278687,-41.5348184,29.80496251,69.76266744,7.691023646,35.57345739,72.03390709,40.81753408,-88.03022061,364.2659437,327.3555683,2.416227739,1.184759215,0.020798121,92.85975461,22.17761135,1,1,0.9965,0.986,1,0.9995,0.9955,1,0.965,0.994,0.9995,0.8405,0.827,0.804,0.772,0.997,0.151,0.548,0.995,1,1,0.6455,0.998987342,1,1,0.9915,0.846,1
dvdtmax-vmax-vrest-APD90-CaTD90,0.8125,0.6875,0.8125,0.927272727,0.825396825,0.9375,0.6,0.428571429,1,0.818181818,0.777777778,0.75,4.3999813,3.21427575,3.999988,0.440000616,0.642857545,1.33E-06,0.666666667,0.545454545,0.727272727,0.151990304,0.962085308,0.75,-3.532868611,27.63733768,-41.55642909,34.71145625,71.48800135,19.79273001,57.7415222,72.03390709,40.81753408,-88.03022061,364.2659437,768.6720229,2.416227739,1.184759215,0.020798121,92.85975461,46.44521373,1,1,0.9965,0.9855,1,1,0.9965,1,0.9695,0.9975,0.9995,0.9015,0.8345,0.8085,0.783,0.997,0.1655,0.644,0.9965,1,1,0.7645,0.999493671,1,1,0.994,0.763,1
dvdtmax-vmax-vrest-camax-CaTD50,0.8125,0.6875,0.8125,0.909090909,0.80952381,0.9375,0.6,0.428571429,1,0.818181818,0.777777778,0.75,4.3999813,2.5714215,3.999988,0.440000616,0.642857545,1.33E-06,0.666666667,0.545454545,0.727272727,0.190263405,0.952606635,0.75,13.87016308,44.64022783,-39.44082781,27.28421966,69.58313294,7.591932876,40.66185436,72.02405995,40.79794507,-88.03028897,0.000222524,327.3362708,2.434174718,1.331177912,0.020895704,3.76E-05,22.17423484,1,1,0.9985,0.9885,1,0.9985,0.9955,1,0.968,0.9915,1,0.8785,0.8485,0.6355,0.7845,0.998,0.1295,0.5205,0.994,1,1,0.39,0.9985,1,1,0.991,0.8705,1
dvdtmax-vmax-vrest-carest-CaTD50,0.8125,0.6875,0.8125,0.927272727,0.825396825,0.9375,0.6,0.428571429,1,0.818181818,0.777777778,0.75,4.3999813,2.5714215,3.999988,0.440000616,0.642857545,1.33E-06,0.666666667,0.545454545,0.727272727,0.175850991,0.957345972,0.75,14.60750843,44.66805209,-40.48717449,27.1182921,67.62721953,9.451986828,39.25525031,72.02405995,40.79794507,-88.03028897,7.28E-05,327.3362708,2.434174718,1.331177912,0.020895704,3.85E-06,22.17423484,1,1,0.9985,0.9855,1,0.9985,0.9955,1,0.9685,0.9935,1,0.8915,0.8515,0.6845,0.786,0.9975,0.1245,0.529,0.9925,1,1,0.5535,0.998,1,1,0.992,0.865,1
dvdtmax-vmax-vrest-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.927272727,0.825396825,0.9375,0.6,0.428571429,1,0.818181818,0.777777778,0.75,5.49997525,3.21427575,3.999988,0.440000616,0.571429,1.33E-06,0.666666667,0.6,0.727272727,0.154738428,0.962085308,0.791666667,12.47195271,43.02387878,-44.54453393,34.9622258,73.57864513,32.40424628,11.58601629,72.02405995,40.79794507,-88.03028897,327.3362708,768.6722188,2.434174718,1.331177912,0.020895704,22.17423484,46.4212134,1,1,0.9985,0.971,1,0.9995,0.9965,1,0.963,0.999,0.999,0.936,0.916,0.74,0.755,0.996,0.1395,0.8255,0.9895,1,0.9905,0.8085,0.9985,1,1,0.9985,0.5145,1
dvdtmax-vmax-vrest-max_dv-camax,0.75,0.6875,0.875,0.927272727,0.873015873,0.9375,1,0.285714286,1,0.636363636,1,0.833333333,2.749995188,142858.3543,5.99997,1.57E-06,0.714286,1.20E-06,0.714285714,0.444444444,0.8,0.209958818,0.961966825,0.875,1.088708328,39.91194471,-79.90286763,77.09350847,85.34616916,57.71109256,-70.87629672,72.03390709,40.81753408,-88.03022061,-0.292902106,0.000222565,2.416227739,1.184759215,0.020798121,0.063732419,3.76E-05,1,1,0.9985,0.9505,1,0.999,0.998,1,0.9605,0.977,0.9935,0.8565,0.4675,0.3325,0.6365,0.9465,0.2015,0.27,0.983,1,1,0.992,0.995443038,1,1,0.9715,0.996,1
dvdtmax-vmax-vrest-max_dv-carest,0.8125,0.6875,0.875,0.890909091,0.825396825,0.958333333,0.8,0.428571429,1,0.727272727,0.888888889,0.833333333,3.666656889,3.857117143,5.99997,0.244445368,0.642857545,1.20E-06,0.727272727,0.545454545,0.8,0.170115764,0.947867299,0.75,-6.56719402,15.69350482,-36.00060748,44.63751998,50.61379165,32.37414038,-60.1078023,72.03390709,40.81753408,-88.03022061,-0.292902106,7.28E-05,2.416227739,1.184759215,0.020798121,0.063732419,3.84E-06,0.9995,0.9995,0.99,0.9485,1,0.9965,0.997,1,0.963,0.985,0.9905,0.847,0.52,0.9865,0.6555,0.978,0.2915,0.3665,0.998,1,1,0.7505,0.996962025,1,1,0.9685,0.9775,0.998
dvdtmax-vmax-vrest-max_dv-CaTD50,0.875,0.6875,0.75,0.963636364,0.777777778,0.916666667,0.8,0.285714286,1,0.909090909,0.888888889,0.666666667,8.799914201,3.21427575,2.999994,0.220000858,0.714286,1.50E-06,0.8,0.444444444,0.666666667,0.240746933,0.943127962,0.791666667,18.51209599,58.5088682,-60.24864396,36.13792235,131.0265669,-10.75879168,83.97188741,72.03390709,40.81753408,-88.03022061,-0.292902106,327.3555683,2.416227739,1.184759215,0.020798121,0.063732419,22.17761135,1,1,1,0.995,0.995,0.9515,1,1,0.677,0.9995,0.724,0.9955,0.968,5.00E-04,0.264,0.3725,0.007,0.9015,0.3335,1,0.999,0.9995,0.999493671,1,1,0.9995,0.4155,1
dvdtmax-vmax-vrest-max_dv-CaTD90,0.8125,0.6875,0.8125,0.927272727,0.841269841,0.9375,0.6,0.428571429,1,0.818181818,0.777777778,0.75,4.3999813,3.21427575,3.999988,0.4000006,0.571429,1.33E-06,0.727272727,0.6,0.727272727,0.148515015,0.962085308,0.75,-2.861507926,27.41013825,-44.60015694,37.34075464,68.60487766,12.29492813,56.78042251,72.03390709,40.81753408,-88.03022061,-0.292902106,768.6720229,2.416227739,1.184759215,0.020798121,0.063732419,46.44521373,1,1,0.9975,0.98,1,1,0.9965,1,0.9665,0.998,0.999,0.9165,0.796,0.875,0.749,0.9955,0.172,0.5845,0.9955,1,1,0.7995,0.999493671,1,1,0.994,0.829,1
dvdtmax-vrest-APD50-APD90-carest,0.8125,0.625,0.8125,0.872727273,0.761904762,0.9375,0.6,0.428571429,1,0.909090909,0.777777778,0.75,6.599938401,1.92856725,3.999988,0.440000616,0.642857679,1.50E-06,0.666666667,0.545454545,0.727272727,0.218540211,0.933649289,0.75,-6.560825689,33.10754231,1.600987557,118.3932344,146.140965,-71.32947033,-88.25707939,72.03390709,-88.03022061,287.2062878,364.2659437,7.28E-05,2.416227739,0.020798121,64.31807536,92.85975461,3.84E-06,1,1,0.9845,0.9955,0.9965,1,0.994,1,0.9515,0.998,0.999,0.9595,0.9895,0.602,0.763,0.9995,0.1585,0.81,0.999,1,0.9935,0,1,1,1,0.9985,0.376,0.9995
dvdtmax-vrest-APD50-APD90-CaTD90,0.8125,0.6875,0.8125,0.872727273,0.777777778,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.551020985,1.33E-06,0.666666667,0.615384615,0.727272727,0.214486318,0.928909953,0.75,-2.247480579,36.88513557,-25.32489761,107.0705324,103.0942739,-77.2145229,61.52688848,72.03390709,-88.03022061,287.2062878,364.2659437,768.6720229,2.416227739,0.020798121,64.31807536,92.85975461,46.44521373,1,1,0.9925,0.995,1,1,0.995,1,0.961,0.9985,0.9995,0.962,0.9915,0.711,0.768,0.9995,0.117,0.79,0.996,1,0.995,0,1,1,1,0.999,0.4205,1
dvdtmax-vrest-APD50-camax-carest,0.8125,0.6875,0.8125,0.909090909,0.793650794,0.947916667,0.6,0.428571429,1,0.818181818,0.777777778,0.75,4.3999813,2.5714215,3.999988,0.440000616,0.642857545,1.33E-06,0.666666667,0.545454545,0.727272727,0.214872253,0.947867299,0.75,-7.059497881,24.97683478,-6.196893344,98.23379186,69.67772784,-25.05268177,-44.16638631,72.03390709,-88.03022061,287.2062878,0.000222565,7.28E-05,2.416227739,0.020798121,64.31807536,3.76E-05,3.84E-06,1,1,1,0.9845,1,1,0.997,1,0.9905,0.9925,1,0.9815,0.939,0.341,0.866,0.9905,0.122,0.4515,1,1,1,0.018,1,1,1,0.9865,0.924,0.9995
dvdtmax-vrest-APD50-camax-CaTD50,0.8125,0.75,0.875,0.909090909,0.857142857,0.947916667,0.8,0.428571429,1,0.818181818,0.888888889,0.833333333,3.666656889,3.85713,5.99997,0.244445368,0.571429,1.20E-06,0.727272727,0.6,0.8,0.149848978,0.962085308,0.791666667,-19.99077875,14.00410233,3.540817656,100.8246211,152.9057812,-127.7435336,-56.97992367,72.03390709,-88.03022061,287.2062878,0.000222565,327.3555683,2.416227739,0.020798121,64.31807536,3.76E-05,22.17761135,1,1,0.998,0.985,0.994,1,0.9965,1,0.9925,0.9955,1,0.9765,0.926,0.6045,0.8915,0.99,0.1565,0.4515,1,1,1,0.7325,1,1,1,0.9885,0.947,0.9995
dvdtmax-vrest-APD50-camax-CaTD90,0.8125,0.6875,0.8125,0.909090909,0.777777778,0.916666667,0.6,0.428571429,1,0.818181818,0.777777778,0.75,4.3999813,2.5714215,3.999988,0.440000616,0.642857545,1.33E-06,0.666666667,0.545454545,0.727272727,0.236852658,0.933649289,0.75,-9.687256228,21.36085337,-21.72746773,88.8997725,11.72628895,16.0363136,79.19556515,72.03390709,-88.03022061,287.2062878,0.000222565,768.6720229,2.416227739,0.020798121,64.31807536,3.76E-05,46.44521373,1,1,1,0.9805,1,1,0.997,1,0.9935,0.993,1,0.9955,0.945,0.0055,0.886,0.9905,0.0875,0.4465,1,1,1,0,1,1,1,0.987,0.925,0.9995
dvdtmax-vrest-APD50-carest-CaTD50,0.8125,0.6875,0.8125,0.909090909,0.793650794,0.9375,0.6,0.428571429,1,0.818181818,0.777777778,0.75,4.3999813,2.5714215,3.999988,0.440000616,0.642857545,1.33E-06,0.666666667,0.545454545,0.727272727,0.228410791,0.943127962,0.75,-3.894911611,27.13516306,-2.930287615,97.67430504,54.74106581,-61.41298926,9.119799424,72.03390709,-88.03022061,287.2062878,7.28E-05,327.3555683,2.416227739,0.020798121,64.31807536,3.84E-06,22.17761135,1,1,0.9995,0.9855,1,1,0.997,1,0.989,0.991,1,0.9715,0.939,0.16,0.847,0.99,0.1375,0.4665,1,1,1,0.0055,1,1,1,0.985,0.903,0.999
dvdtmax-vrest-APD90-camax-carest,0.8125,0.6875,0.875,0.890909091,0.825396825,0.979166667,0.8,0.428571429,1,0.818181818,0.888888889,0.833333333,4.3999813,3.857117143,5.99997,0.244445368,0.642857545,1.20E-06,0.727272727,0.545454545,0.8,0.193385163,0.943127962,0.75,-4.456531048,15.12840714,-0.374014038,68.75999321,47.25723673,-5.798633828,-45.2624381,72.03390709,-88.03022061,364.2659437,0.000222565,7.28E-05,2.416227739,0.020798121,92.85975461,3.76E-05,3.84E-06,1,1,1,0.8905,1,1,0.9995,1,0.9995,0.973,1,0.953,0.834,0.76,0.923,0.916,0.2625,0.223,0.9995,1,1,0.0295,1,1,1,0.936,0.9905,0.9975
dvdtmax-vrest-APD90-camax-CaTD50,0.8125,0.6875,0.8125,0.909090909,0.777777778,0.927083333,0.6,0.428571429,1,0.818181818,0.777777778,0.75,4.3999813,2.5714215,3.999988,0.440000616,0.642857545,1.33E-06,0.666666667,0.545454545,0.727272727,0.24071547,0.928909953,0.75,11.09824379,39.55201551,-24.52285253,77.62905215,-1.964377842,11.27927385,43.21521955,72.03390709,-88.03022061,364.2659437,0.000222565,327.3555683,2.416227739,0.020798121,92.85975461,3.76E-05,22.17761135,1,1,1,0.9735,1,0.9985,0.997,1,0.9885,0.9845,1,0.965,0.9075,0.094,0.858,0.9865,0.0835,0.368,0.996,1,1,0,0.997468354,1,1,0.981,0.9585,1
dvdtmax-vrest-APD90-carest-CaTD50,0.8125,0.625,0.8125,0.945454545,0.793650794,0.916666667,0.8,0.285714286,1,0.818181818,0.888888889,0.75,4.3999813,2.571414429,3.999988,0.244445368,0.80357165,1.33E-06,0.727272727,0.4,0.727272727,0.245906362,0.943127962,0.75,2.117118905,54.7576763,-39.78730971,211.2362045,60.99861969,-63.22197952,80.74777956,72.03390709,-88.03022061,364.2659437,7.28E-05,327.3555683,2.416227739,0.020798121,92.85975461,3.84E-06,22.17761135,1,1,1,0.9925,1,1,1,1,0.9615,0.8235,0.9975,0.996,0.7075,0,0.7125,0.501,0.0215,0.112,0.855,1,1,0.6305,1,1,1,0.9945,0.999,0.991
dvdtmax-vrest-APD90-carest-CaTD90,0.8125,0.75,0.8125,0.927272727,0.857142857,0.9375,0.8,0.428571429,1,0.818181818,0.888888889,0.75,4.3999813,5.142819857,3.999988,0.244445368,0.571429,1.33E-06,0.727272727,0.6,0.727272727,0.1444385,0.962085308,0.75,13.43871613,43.20362379,-26.83981236,73.41009426,-34.45121749,106.7021562,122.0333526,72.03390709,-88.03022061,364.2659437,7.28E-05,768.6720229,2.416227739,0.020798121,92.85975461,3.84E-06,46.44521373,1,1,0.9985,0.978,1,1,0.997,1,0.974,0.9935,0.999,0.9065,0.9255,0.7275,0.796,0.991,0.1195,0.522,0.9975,1,1,0.945,0.998987342,1,1,0.9875,0.8355,1
dvdtmax-vrest-APD90-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.909090909,0.777777778,0.927083333,0.6,0.428571429,1,0.818181818,0.777777778,0.75,4.3999813,2.5714215,3.999988,0.4000006,0.642857545,1.33E-06,0.727272727,0.545454545,0.727272727,0.237198806,0.938388626,0.75,-2.147937973,26.18465876,-20.88300086,81.21628094,15.52757874,16.51260995,33.32574377,72.03390709,-88.03022061,364.2659437,327.3555683,768.6720229,2.416227739,0.020798121,92.85975461,22.17761135,46.44521373,1,1,1,0.9605,1,1,0.997,1,0.996,0.9895,1,0.9965,0.9195,0.013,0.9065,0.9725,0.0775,0.387,1,1,1,0.0225,0.999493671,1,1,0.9835,0.9605,0.9995
