"Feature","1","2","3","4","5","6","7","8","9","10"
"qNet",0,0.666666667,0.680555555833333,0.733796296388889,0.728825136704918,0.728413654674699,0.719202898608696,0.72135416675,0.705357142928571,0.72916666675
"dvdtmax",0,0.805555555666667,0.723958333375,0.748737373787879,0.742424242490909,0.739864864891892,0.723076923123077,0.72222222230303,0.714285714285714,0.72916666675
"vmax",0,0.69791666675,0.759057970956522,0.755787037111111,0.745762711932204,0.741898148166667,0.726562500078125,0.712643678241379,0.7027777778,0.72916666675
"vrest",0,0.708333333,0.776315789526316,0.759057971101449,0.746681416017699,0.746495327130841,0.735232067531646,0.724747474818182,0.711538461615385,0.72916666675
"APD50",0,0.75,0.750000000058824,0.74768518525,0.746843434409091,0.738924050670886,0.723429951753623,0.708333333387097,0.710784313764706,0.72916666675
"APD90",0.666666667,0.722222222333333,0.768518518555556,0.7695312500625,0.752155172465517,0.737847222305556,0.72981770840625,0.717948718038461,0.708333333357143,0.708333333333333
"max_dv",0,0.7708333335,0.770833333214286,0.759469697,0.736111111233333,0.721774193645161,0.720430107612903,0.738095238142857,0.723484848454546,0.722222222333333
"camax",0,0.708333333,0.78958333335,0.761363636431818,0.744708994825397,0.739130434811594,0.728107344677966,0.7200520834375,0.705128205230769,0.72916666675
"carest",0,0.736111111,0.78333333328,0.756205673808511,0.741666666738462,0.74176954737037,0.73063380284507,0.7279411765,0.711309523857143,0.75
"CaTD50",0,0.708333333,0.766304347782609,0.752976190571429,0.744131455507042,0.736293859697369,0.717723004746479,0.712009804,0.7083333334,0.72916666675
"CaTD90",0,0.833333333,0.779411764705882,0.745934959487805,0.745762711966102,0.738247863320513,0.728846153938462,0.718055555633333,0.721153846153846,0.736111111333333
