Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Mean_1,Mean_2,Mean_3,Mean_4,SD_1,SD_2,SD_3,SD_4,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
vmax-max_dv-camax-CaTD50,0.8125,0.625,0.8125,0.963636364,0.777777778,0.916666667,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142858.0646,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.287275888,0.91943128,0.833333333,-0.729410508,4.877047453,4.392861,0.054732253,9.204118891,9.337713562,40.81753408,-0.292902106,0.000222565,327.3555683,1.184759215,0.063732419,3.76E-05,22.17761135,1,1,1,0.999,1,0.9035,0.8885,1,0.9545,0.3785,1,0.394,0.181,0,0.868,0.9915,0.0475,0.0375,0.8845,1,1,1,1,1,1,0.2135,1,0.986
vmax-max_dv-carest-CaTD50,0.8125,0.625,0.8125,0.963636364,0.825396825,0.916666667,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142858.008,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.296228143,0.924170616,0.833333333,-1.111048087,4.322118674,8.402736051,6.5474165,0.34866728,2.376316489,40.81753408,-0.292902106,7.28E-05,327.3555683,1.184759215,0.063732419,3.84E-06,22.17761135,1,1,0.999,0.998,1,0.9135,0.932,1,0.947,0.4005,1,0.3445,0.102,0,0.821,0.9675,0.106,0.0205,0.9395,1,1,1,1,1,1,0.2695,1,0.9885
vmax-max_dv-CaTD50-CaTD90,0.75,0.625,0.8125,0.909090909,0.777777778,0.916666667,0.8,0.285714286,0.75,0.727272727,0.777777778,0.75,2.933326244,2.571414429,3.999988,0.244445368,0.80357165,0.30000084,0.714285714,0.4,0.666666667,0.246983579,0.933649289,0.666666667,-4.244918069,5.312666573,30.2356476,11.14449119,-18.22091165,37.88578352,40.81753408,-0.292902106,327.3555683,768.6720229,1.184759215,0.063732419,22.17761135,46.44521373,0.992,0.9995,0.4625,0.9815,1,0.9895,0.815,1,0.8555,0.995,0.9775,0.258,0.2225,0.9915,0.67,0.89,0.2635,0.4575,0.9135,0.9995,1,1,1,1,1,0.769,0.9505,1
vmax-vrest-APD50-camax,0.875,0.75,0.8125,0.963636364,0.857142857,0.916666667,0.8,0.428571429,1,0.818181818,0.888888889,0.75,5.49997525,5.142819857,3.999988,0.220000858,0.571429,1.33E-06,0.8,0.6,0.727272727,0.171938646,0.966824645,0.791666667,-1.927946153,57.95257043,-6.365874335,184.4631413,139.044071,-107.4998801,40.81753408,-88.03022061,287.2062878,0.000222565,1.184759215,0.020798121,64.31807536,3.76E-05,1,1,1,0.984,1,1,0.999,1,0.987,0.9905,1,0.991,0.894,0.248,0.8285,0.9435,0.072,0.3845,0.9875,1,1,0.9355,1,1,1,0.986,0.974,1
vmax-vrest-APD50-carest,0.8125,0.6875,0.8125,0.945454545,0.841269841,0.9375,0.8,0.428571429,1,0.818181818,0.888888889,0.75,4.3999813,3.857117143,3.999988,0.244445368,0.642857545,1.33E-06,0.727272727,0.545454545,0.727272727,0.15239622,0.966824645,0.75,-4.90840511,27.79119365,19.14882177,91.14048735,68.00844416,-80.10656412,40.81753408,-88.03022061,287.2062878,7.28E-05,1.184759215,0.020798121,64.31807536,3.84E-06,1,1,0.9955,0.9915,1,0.9995,0.9955,1,0.9645,0.9955,0.9995,0.913,0.8825,0.5985,0.778,0.997,0.1935,0.62,0.999,1,1,0.8975,1,1,1,0.9935,0.781,0.999
vmax-vrest-APD50-CaTD50,0.8125,0.6875,0.8125,0.927272727,0.80952381,0.9375,0.8,0.285714286,1,0.727272727,0.888888889,0.75,3.666656889,3.857117143,3.999988,0.244445368,0.714286,1.33E-06,0.727272727,0.444444444,0.727272727,0.230330811,0.943127962,0.75,3.333338074,20.93452712,-3.47022887,42.02994085,17.18641537,16.60114199,40.81753408,-88.03022061,287.2062878,327.3555683,1.184759215,0.020798121,64.31807536,22.17761135,1,1,1,0.9905,1,0.977,0.996,1,0.984,0.8965,1,0.8785,0.6895,0.032,0.863,0.9955,0.0845,0.129,0.9955,1,1,0.729,1,1,1,0.8235,0.9985,1
vmax-vrest-APD50-CaTD90,0.875,0.6875,0.8125,0.963636364,0.873015873,0.9375,0.8,0.428571429,1,0.818181818,0.888888889,0.75,5.49997525,5.142819857,3.999988,0.220000858,0.642857545,1.33E-06,0.8,0.545454545,0.727272727,0.16518998,0.966824645,0.791666667,3.623096784,33.77233738,12.72266137,77.33836954,25.79933837,52.62911613,40.81753408,-88.03022061,287.2062878,768.6720229,1.184759215,0.020798121,64.31807536,46.44521373,1,1,0.999,0.984,1,0.9995,0.997,1,0.976,0.993,1,0.922,0.801,0.3895,0.8015,0.9955,0.139,0.467,0.996,1,1,1,1,1,1,0.9875,0.9265,1
vmax-vrest-APD90-camax,0.875,0.75,0.8125,0.963636364,0.904761905,0.9375,1,0.428571429,1,0.818181818,1,0.75,5.49997525,428571.2336,3.999988,1.22E-06,0.571429,1.33E-06,0.833333333,0.6,0.727272727,0.169098549,0.966824645,0.875,1.075732759,21.29631761,13.76855091,49.9112627,47.52008731,-34.77436027,40.81753408,-88.03022061,364.2659437,0.000222565,1.184759215,0.020798121,92.85975461,3.76E-05,1,1,1,0.94,1,0.994,0.997,1,0.9925,0.9765,1,0.941,0.571,0.602,0.8805,0.9595,0.139,0.2355,0.997,1,1,1,1,1,1,0.93,0.998,1
vmax-vrest-APD90-carest,0.8125,0.6875,0.8125,0.945454545,0.873015873,0.9375,0.8,0.285714286,1,0.727272727,0.888888889,0.75,3.666656889,5.142819858,3.999988,0.220000858,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.162343711,0.966824645,0.75,-3.537386406,19.60442246,25.09914526,64.16736644,54.29185303,-64.98781356,40.81753408,-88.03022061,364.2659437,7.28E-05,1.184759215,0.020798121,92.85975461,3.84E-06,1,1,0.999,0.966,1,0.9975,0.9975,1,0.987,0.987,1,0.8725,0.6325,0.568,0.817,0.976,0.2345,0.405,1,1,1,1,1,1,1,0.9685,0.951,0.9975
vmax-vrest-APD90-CaTD50,0.8125,0.6875,0.8125,0.945454545,0.80952381,0.9375,0.8,0.285714286,1,0.818181818,0.888888889,0.75,4.3999813,3.857117143,3.999988,0.244445368,0.714286,1.33E-06,0.727272727,0.444444444,0.727272727,0.218808606,0.943127962,0.75,1.98031798,16.99476314,-3.625054887,36.85125891,13.25981237,16.39171951,40.81753408,-88.03022061,364.2659437,327.3555683,1.184759215,0.020798121,92.85975461,22.17761135,1,1,1,0.975,1,0.967,0.996,1,0.992,0.8705,1,0.9545,0.665,5.00E-04,0.909,0.9825,0.068,0.0885,0.996,1,1,0.8935,1,1,1,0.771,1,0.999
