"Feature","1","2","3","4","5","6","7","8","9","10"
"qNet",0,1,0.928533680272987,0.680237990097481,0.661186497085826,0.636550272654063,0.604319451302059,0.604713056713216,0.560556561556948,0.351832697576779
"dvdtmax",0,0.405460304660153,0.382240556719275,0.261714270605612,0.275708368236159,0.169257995181235,0.151617237477232,0.156929130956023,0.160775754235555,0.255331460899222
"vmax",0,0.781013802362113,0.757040690895397,0.508335615590545,0.294246675892739,0.152204154344054,0.116559651126713,0.16243692726807,0.0820949805195254,0.298658621433022
"vrest",0,1,0.896474939250133,0.919183932773532,0.821626427223409,0.781387329366369,0.729769338041612,0.687169573322425,0.476932160693449,0.747104425266295
"APD50",0,1,0.68544880517798,0.622700961797266,0.681763947557492,0.733945987308894,0.731772797205917,0.623757546994793,0.424048152244092,0.644605637825846
"APD90",1,0.998364018772457,0.68138283609621,0.57768810891786,0.550862309373527,0.567257204524613,0.588731703537902,0.692580372338995,0.727791993559973,0.494222089661036
"max_dv",0,0.971529679635571,0.57685275234253,0.341563295022914,0.28816112513353,0.215771033711556,0.276663724285978,0.298792641040686,0.367602180233293,0.566487752941561
"camax",0,1,0.558056634056689,0.441351586968578,0.367625159238758,0.330825058552538,0.302120503771728,0.429286050347027,0.325111194413306,0.284800779949463
"carest",0,0.807202202491919,0.804341301421673,0.669775433810179,0.526019148140179,0.427315153560359,0.359380363615916,0.319189701367392,0.311623256073361,0.367772521749732
"CaTD50",0,0.737758628337533,0.542371041491709,0.393298332994938,0.314864648838731,0.317627946057648,0.380093954194132,0.465065936512496,0.394949702502099,0.33124761924149
"CaTD90",0,0.89731487341863,0.710556491561579,0.723913673162269,0.665410945046206,0.669154461567675,0.697238154573691,0.735024161955122,0.721976595558339,0.674382972036268
