Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,Mean_6,SD_1,SD_2,SD_3,SD_4,SD_5,SD_6,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
dvdtmax-vrest-APD50-camax-carest-CaTD90,0.8125,0.6875,0.8125,0.909090909,0.793650794,0.9375,0.6,0.428571429,1,0.818181818,0.777777778,0.75,4.3999813,2.5714215,3.999988,0.440000616,0.642857545,1.33E-06,0.666666667,0.545454545,0.727272727,0.227190245,0.943127962,0.75,-7.603968962,23.98721753,-7.130039767,96.90374487,57.03548441,-11.12901219,-42.06962732,16.95158703,72.03390709,-88.03022061,287.2062878,0.000222565,7.28E-05,768.6720229,2.416227739,0.020798121,64.31807536,3.76E-05,3.84E-06,46.44521373,1,1,1,0.9845,1,1,0.997,1,0.9905,0.9925,1,0.983,0.9405,0.1505,0.8635,0.991,0.121,0.4585,1,1,1,0.012,1,1,1,0.9875,0.9185,0.999
dvdtmax-vrest-APD50-camax-CaTD50-CaTD90,0.8125,0.75,0.875,0.927272727,0.857142857,0.947916667,0.6,0.571428571,1,0.818181818,0.777777778,0.833333333,5.49997525,3.85713,5.99997,0.4000006,0.48214344,1.20E-06,0.727272727,0.666666667,0.8,0.132012647,0.966824645,0.833333333,-24.51116466,6.499641391,2.478539446,95.19124226,83.8069094,-41.52355846,-62.08536357,102.051883,72.03390709,-88.03022061,287.2062878,0.000222565,327.3555683,768.6720229,2.416227739,0.020798121,64.31807536,3.76E-05,22.17761135,46.44521373,1,1,0.999,0.9865,1,1,0.998,1,0.991,0.9965,1,0.977,0.9325,0.9525,0.8765,0.992,0.1775,0.4875,1,1,1,0.6455,1,1,1,0.989,0.9075,0.999
dvdtmax-vrest-APD50-carest-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.927272727,0.825396825,0.947916667,0.6,0.428571429,1,0.818181818,0.777777778,0.75,5.49997525,2.5714215,3.999988,0.440000616,0.642857545,1.33E-06,0.666666667,0.545454545,0.727272727,0.177907055,0.962085308,0.791666667,-26.79112824,2.935575704,-0.834415803,91.19158341,46.35085198,6.708388113,-63.20797355,154.5225258,72.03390709,-88.03022061,287.2062878,7.28E-05,327.3555683,768.6720229,2.416227739,0.020798121,64.31807536,3.84E-06,22.17761135,46.44521373,1,1,0.9995,0.986,1,1,0.9975,1,0.992,0.996,1,0.981,0.9365,0.356,0.8735,0.9915,0.17,0.513,1,1,1,0.538,1,1,1,0.9895,0.8605,0.999
dvdtmax-vrest-APD90-carest-CaTD50-CaTD90,0.8125,0.75,0.875,0.945454545,0.873015873,0.9375,0.8,0.428571429,1,0.818181818,0.888888889,0.833333333,4.3999813,5.142819857,5.99997,0.244445368,0.571429,1.20E-06,0.727272727,0.6,0.8,0.138432389,0.966824645,0.791666667,-0.825138454,28.87528528,-23.02553192,70.33917407,-39.7645008,150.4953562,-47.13789473,223.1487333,72.03390709,-88.03022061,364.2659437,7.28E-05,327.3555683,768.6720229,2.416227739,0.020798121,92.85975461,3.84E-06,22.17761135,46.44521373,1,1,0.998,0.982,1,1,0.9955,1,0.9755,0.9965,0.998,0.9235,0.925,0.735,0.814,0.9925,0.134,0.612,0.998,1,1,0.9965,0.999493671,1,1,0.9905,0.7315,1
dvdtmax-vrest-APD90-max_dv-carest-CaTD50,0.75,0.625,0.8125,0.890909091,0.753968254,0.916666667,0.8,0.285714286,1,0.727272727,0.888888889,0.75,2.933326244,2.571414429,3.999988,0.275000997,0.80357165,1.33E-06,0.666666667,0.4,0.727272727,0.29575703,0.933649289,0.708333333,30.22309199,89.96384587,-67.34072862,206.2414238,-37.0191129,47.01288087,18.03679684,97.29666559,72.03390709,-88.03022061,364.2659437,-0.292902106,7.28E-05,327.3555683,2.416227739,0.020798121,92.85975461,0.063732419,3.84E-06,22.17761135,1,1,1,0.994,1,1,1,1,0.962,0.806,0.994,0.9075,0.609,0.0875,0.6275,0.6695,0.0585,0.0675,0.961,1,1,0.028,0.997974684,1,1,0.967,1,1
dvdtmax-vrest-APD90-max_dv-CaTD50-CaTD90,0.8125,0.625,0.8125,0.818181818,0.746031746,0.895833333,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,1.92856725,3.999988,0.440000616,0.642857679,1.33E-06,0.666666667,0.571428571,0.727272727,0.266764995,0.895734597,0.666666667,-25.94535239,2.464815284,30.99997845,84.60192636,267.9722078,-156.3763255,-54.23972844,142.4250635,72.03390709,-88.03022061,364.2659437,-0.292902106,327.3555683,768.6720229,2.416227739,0.020798121,92.85975461,0.063732419,22.17761135,46.44521373,1,1,0.995,0.9975,1,1,0.994,1,0.969,0.9995,0.999,0.6555,1,0.103,0.951,0.9985,0.1485,1,0.999,1,0,0.9935,1,1,0.9945,0.999,0,1
dvdtmax-vrest-camax-carest-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.909090909,0.777777778,0.927083333,0.6,0.428571429,1,0.818181818,0.777777778,0.75,4.3999813,2.5714215,3.999988,0.440000616,0.642857545,1.33E-06,0.666666667,0.545454545,0.727272727,0.223097623,0.943127962,0.75,-23.51506298,4.714438075,-8.109897401,85.81345792,45.5884006,10.38055799,-47.78882324,184.6965827,72.02405995,-88.03028897,0.000222524,7.28E-05,327.3362708,768.6722188,2.434174718,0.020895704,3.76E-05,3.85E-06,22.17423484,46.4212134,1,1,1,0.985,1,1,0.997,1,0.9935,0.995,1,0.989,0.944,0.002,0.872,0.992,0.148,0.5345,1,1,1,0.2125,1,1,1,0.99,0.8075,0.999
dvdtmax-vrest-max_dv-carest-CaTD50-CaTD90,0.75,0.6875,0.875,0.890909091,0.80952381,0.9375,0.6,0.571428571,1,0.818181818,0.777777778,0.833333333,3.29998735,2.142853714,5.99997,0.488889514,0.642857545,1.33E-06,0.6,0.571428571,0.75,0.222247537,0.952606635,0.75,4.590016539,37.06920918,-23.136102,75.16109624,-33.98949674,163.4595455,-41.46210453,225.4299226,72.03390709,-88.03022061,-0.292902106,7.28E-05,327.3555683,768.6720229,2.416227739,0.020798121,0.063732419,3.84E-06,22.17761135,46.44521373,1,1,0.9805,0.992,1,1,0.9925,1,0.9635,0.998,0.9975,0.8315,0.992,0.5895,0.814,0.997,0.1555,0.9725,0.9985,1,0.156,0.993,1,1,1,0.9975,0.0685,1
qNet-APD50-APD90-camax-carest-CaTD90,0.8125,0.6875,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.551020985,1.50E-06,0.666666667,0.615384615,0.666666667,0.234110347,0.924170616,0.75,-12.56728092,26.11089302,-74.65478476,-143.2011946,104.6890481,20.67521061,3.729587112,24.20088127,63.95253604,287.2062878,364.2659437,0.000222565,7.28E-05,768.6720229,15.85634121,64.31807536,92.85975461,3.76E-05,3.84E-06,46.44521373,1,1,0.988,0.996,1,1,0.995,1,0.947,0.999,1,0.983,0.9985,0.7955,0.829,0.999,0.1385,0.8365,0.9975,1,0.987,0,1,1,1,0.999,0.2895,1
qNet-APD50-APD90-camax-CaTD50-CaTD90,0.8125,0.75,0.8125,0.836363636,0.841269841,0.927083333,0.6,0.571428571,0.75,0.909090909,0.777777778,0.75,6.599938401,3.21427575,3.999988,0.440000616,0.48214344,0.272728066,0.666666667,0.666666667,0.666666667,0.241205658,0.91943128,0.666666667,-16.3052967,22.94886511,-76.74803354,-132.1405275,106.7599586,9.710090975,-8.244902882,19.98478217,63.95253604,287.2062878,364.2659437,0.000222565,327.3555683,768.6720229,15.85634121,64.31807536,92.85975461,3.76E-05,22.17761135,46.44521373,1,1,0.9675,0.996,1,1,0.995,1,0.9455,0.9985,0.9995,0.98,0.9985,0.9705,0.828,0.999,0.149,0.8415,0.998,1,0.987,0,1,1,1,0.999,0.2635,1
