Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,SD_1,SD_2,SD_3,SD_4,SD_5,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
qNet-dvdtmax-vmax-APD50-max_dv,0.8125,0.6875,0.75,0.854545455,0.80952381,0.90625,0.6,0.428571429,0.75,0.818181818,0.777777778,0.666666667,4.3999813,2.5714215,2.999994,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.223266757,0.914691943,0.7,-26.71543869,46.5959963,-114.5025411,-24.46178708,19.40589146,-88.81355564,54.87155768,63.95253604,72.03390709,40.81753408,287.2062878,-0.292902106,15.85634121,2.416227739,1.184759215,64.31807536,0.063732419,1,1,0.935,0.997,1,0.9995,0.979,1,0.905,0.9975,0.9975,0.9615,0.947,0.8335,0.7615,1,0.1025,0.523,0.983,1,1,0,0.999493671,1,1,0.9975,0.8945,0.9995
qNet-dvdtmax-vmax-APD90-CaTD50,0.8125,0.625,0.8125,0.854545455,0.761904762,0.90625,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,4.3999813,1.92856725,3.999988,0.440000616,0.642857679,0.30000084,0.666666667,0.545454545,0.666666667,0.229562559,0.91943128,0.7,-11.5843079,26.32599066,-58.30685381,16.37330279,-4.791384069,5.959845583,-8.191889028,63.95253604,72.03390709,40.81753408,364.2659437,327.3555683,15.85634121,2.416227739,1.184759215,92.85975461,22.17761135,0.9995,1,0.668,0.9985,1,0.9995,0.9685,1,0.867,0.995,0.991,0.826,0.975,0.953,0.765,1,0.118,0.6345,0.987,1,1,0,1,1,1,0.9935,0.686,1
qNet-dvdtmax-vmax-max_dv-CaTD50,0.8125,0.625,0.75,0.854545455,0.761904762,0.90625,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,4.3999813,1.92856725,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.545454545,0.6,0.231777481,0.914691943,0.7,-11.82719435,26.15382739,-59.13160116,15.60831167,-5.464210801,3.419285273,-8.25263642,63.95253604,72.03390709,40.81753408,-0.292902106,327.3555683,15.85634121,2.416227739,1.184759215,0.063732419,22.17761135,0.9995,1,0.6655,0.9985,1,0.9995,0.968,1,0.8685,0.995,0.991,0.8545,0.9755,0.9545,0.763,1,0.116,0.6285,0.987,1,1,0,1,1,1,0.9935,0.701,1
qNet-dvdtmax-vmax-camax-carest,0.75,0.625,0.8125,0.836363636,0.73015873,0.916666667,0.6,0.428571429,0.75,0.727272727,0.666666667,0.75,2.933326244,1.714283571,3.999988,0.488889514,0.80357165,0.30000084,0.6,0.461538462,0.666666667,0.248812498,0.914691943,0.7,-1.679570184,35.11005797,-47.40594013,-11.27670364,6.918199897,-25.49149274,51.66531018,63.97825074,72.02405995,40.79794507,0.000222524,7.28E-05,15.86819615,2.434174718,1.331177912,3.76E-05,3.85E-06,0.9995,1,0.637,0.9985,1,0.9995,0.967,1,0.8595,0.993,0.9925,0.723,0.9565,0.723,0.746,1,0.136,0.6075,0.9805,1,1,0,1,1,1,0.9925,0.755,1
qNet-dvdtmax-vrest-APD50-max_dv,0.8125,0.75,0.75,0.836363636,0.841269841,0.916666667,0.6,0.571428571,0.75,0.818181818,0.777777778,0.75,4.3999813,3.21427575,2.999994,0.440000616,0.551020985,0.30000084,0.666666667,0.615384615,0.666666667,0.244505665,0.909952607,0.7,-10.7083965,30.04604044,-61.24238172,-8.33608919,14.18981532,-37.96011915,23.18201525,63.95253604,72.03390709,-88.03022061,287.2062878,-0.292902106,15.85634121,2.416227739,0.020798121,64.31807536,0.063732419,1,1,0.888,0.997,1,0.9995,0.988,1,0.9195,0.9975,0.9965,0.9435,0.974,0.996,0.767,1,0.133,0.5745,0.995,1,1,0,1,1,1,0.995,0.7875,1
qNet-dvdtmax-APD50-max_dv-carest,0.8125,0.6875,0.75,0.836363636,0.825396825,0.916666667,0.6,0.428571429,0.75,0.818181818,0.777777778,0.666666667,4.3999813,3.21427575,2.999994,0.440000616,0.571429,0.30000084,0.666666667,0.6,0.666666667,0.239485613,0.909952607,0.7,-13.30835342,26.57858871,-66.1039604,-6.830041629,-51.81575751,28.62279574,7.628654957,63.95253604,72.03390709,287.2062878,-0.292902106,7.28E-05,15.85634121,2.416227739,64.31807536,0.063732419,3.84E-06,1,1,0.9355,0.997,1,0.999,0.9825,1,0.92,0.9965,0.998,0.967,0.962,0.913,0.774,1,0.1015,0.514,0.9905,1,1,0,0.999493671,1,1,0.9955,0.8835,1
qNet-dvdtmax-APD50-max_dv-CaTD50,0.8125,0.75,0.75,0.836363636,0.841269841,0.916666667,0.6,0.571428571,0.75,0.818181818,0.777777778,0.75,4.3999813,3.21427575,2.999992,0.440000616,0.551020985,0.333334222,0.666666667,0.615384615,0.6,0.248530205,0.909952607,0.7,-15.77608691,24.3222822,-67.43772176,-5.699760961,-44.63572065,27.36705085,-4.758949352,63.95253604,72.03390709,287.2062878,-0.292902106,327.3555683,15.85634121,2.416227739,64.31807536,0.063732419,22.17761135,1,1,0.881,0.998,1,0.9995,0.982,1,0.9065,0.996,0.996,0.9565,0.9685,0.975,0.7685,1,0.109,0.5325,0.991,1,1,0,0.999493671,1,1,0.9945,0.849,0.999
qNet-dvdtmax-APD50-camax-carest,0.75,0.625,0.75,0.818181818,0.73015873,0.90625,0.6,0.428571429,0.75,0.727272727,0.666666667,0.75,2.933326244,1.714283571,2.999992,0.488889514,0.80357165,0.333334222,0.6,0.461538462,0.6,0.269714787,0.90521327,0.7,0.233652012,39.12061045,-55.28081284,-8.452060772,-9.238313458,-28.4030851,60.63153358,63.95253604,72.03390709,287.2062878,0.000222565,7.28E-05,15.85634121,2.416227739,64.31807536,3.76E-05,3.84E-06,0.999,1,0.5825,0.998,1,0.9995,0.969,1,0.86,0.995,0.989,0.792,0.981,0.562,0.7475,1,0.141,0.7015,0.985,1,1,0,1,1,1,0.996,0.569,1
qNet-dvdtmax-APD90-max_dv-carest,0.75,0.625,0.8125,0.854545455,0.73015873,0.90625,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,3.29998735,1.714283571,3.999988,0.488889514,0.734694219,0.30000084,0.6,0.5,0.666666667,0.237984502,0.91943128,0.7,-5.280683054,32.17371829,-52.49634371,8.134138901,6.446775832,-6.620543189,15.75759999,63.95253604,72.03390709,364.2659437,-0.292902106,7.28E-05,15.85634121,2.416227739,92.85975461,0.063732419,3.84E-06,0.999,1,0.5985,0.999,1,1,0.9615,1,0.845,0.9945,0.9865,0.7375,0.976,0.986,0.751,1,0.134,0.703,0.985,1,0.999,0,1,1,1,0.9945,0.5615,1
qNet-dvdtmax-APD90-max_dv-CaTD50,0.75,0.625,0.8125,0.854545455,0.73015873,0.90625,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,3.29998735,1.714283571,3.999988,0.488889514,0.734694219,0.30000084,0.6,0.5,0.666666667,0.240637986,0.924170616,0.7,-9.790653273,28.1637027,-55.32783007,16.43549128,25.04178427,-11.87578631,-8.174387478,63.95253604,72.03390709,364.2659437,-0.292902106,327.3555683,15.85634121,2.416227739,92.85975461,0.063732419,22.17761135,0.999,1,0.5785,0.9985,1,1,0.9665,1,0.847,0.995,0.9875,0.717,0.9785,0.9895,0.762,1,0.1455,0.7605,0.99,1,0.997,0,1,1,1,0.994,0.4605,1
