"Feature","1","2","3","4","5","6","7","8","9","10"
"qNet",1,0.352941176470588,0.186666666666667,0.324675324675325,0.527918781725888,0.651428571428571,0.725,0.787234042553192,0.833333333333333,1
"dvdtmax",0,0.235294117647059,0.266666666666667,0.357142857142857,0.451776649746193,0.577142857142857,0.65,0.829787234042553,0.833333333333333,1
"vmax",0,0.235294117647059,0.346666666666667,0.383116883116883,0.467005076142132,0.548571428571429,0.65,0.723404255319149,0.833333333333333,1
"vrest",0,0.117647058823529,0.306666666666667,0.532467532467532,0.609137055837564,0.634285714285714,0.716666666666667,0.723404255319149,0.777777777777778,0.8
"APD50",0,0.176470588235294,0.24,0.344155844155844,0.436548223350254,0.56,0.658333333333333,0.723404255319149,0.944444444444444,1
"APD90",0,0.235294117647059,0.253333333333333,0.298701298701299,0.411167512690355,0.508571428571429,0.616666666666667,0.638297872340426,0.833333333333333,0.8
"max_dv",0,0.176470588235294,0.213333333333333,0.227272727272727,0.248730964467005,0.274285714285714,0.325,0.382978723404255,0.666666666666667,0.8
"camax",0,0.0588235294117647,0.28,0.37012987012987,0.451776649746193,0.514285714285714,0.6,0.787234042553192,0.777777777777778,1
"carest",0,0.176470588235294,0.36,0.415584415584416,0.50253807106599,0.628571428571429,0.716666666666667,0.829787234042553,0.833333333333333,0.8
"CaTD50",0,0.176470588235294,0.306666666666667,0.383116883116883,0.50253807106599,0.56,0.7,0.851063829787234,0.888888888888889,1
"CaTD90",0,0.0588235294117647,0.24,0.363636363636364,0.390862944162437,0.542857142857143,0.641666666666667,0.723404255319149,0.777777777777778,0.8
