"Feature","1","2","3","4","5","6","7","8","9","10"
"qNet",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"dvdtmax",0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"vmax",0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.733333333,0.7
"vrest",0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.733333333
"APD50",0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.733333333,0.7
"APD90",0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"max_dv",0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"camax",0,0.733333333,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"carest",0,0.733333333,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"CaTD50",0,0.733333333,0.733333333,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"CaTD90",0,0.866666667,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
