"Feature","1","2","3","4","5","6","7","8","9","10"
"qNet",0.7,0.7055555555,0.719047618928571,0.7313333333,0.748397435846155,0.758771929789474,0.758237547850575,0.766666666594595,0.759999999933333,0.7666666666
"dvdtmax",0,0.775,0.7616666666,0.758787878763636,0.758052434415731,0.766006600653465,0.763247863205128,0.76581196574359,0.766666666666667,0.7666666666
"vmax",0,0.7416666665,0.791025641038462,0.762146892627119,0.76123188402174,0.768402777770833,0.765384615320512,0.758823529323529,0.7622222222,0.7666666666
"vrest",0,0.7166666665,0.795652173826087,0.790243902365853,0.790833333258333,0.79219219218018,0.778682170523255,0.776470588147059,0.764285714214286,0.78333333325
"APD50",0,0.744444444333333,0.7925925925,0.764779874188679,0.774418604604651,0.772108843510204,0.767932489392404,0.7598039215,0.768627450941176,0.7666666666
"APD90",0,0.7416666665,0.807017543842105,0.779710144891304,0.772427983506173,0.770786516808988,0.770720720662162,0.763333333233333,0.7622222222,0.75
"max_dv",0,0.755555555666667,0.8000000000625,0.7676190476,0.753061224428572,0.747916666604167,0.756410256358974,0.768518518444445,0.77222222225,0.75833333325
"camax",0,0.733333333,0.825396825380952,0.783040935631578,0.767041198426967,0.769259259244444,0.766666666625,0.764864864756757,0.759523809428572,0.7666666666
"carest",0,0.788888889,0.817283950666667,0.775520833312499,0.760942760898991,0.767575757545454,0.768217054232558,0.770940170897436,0.7644444444,0.775
"CaTD50",0,0.744444444333333,0.810144927521739,0.771751412372881,0.768350168272728,0.767687074806122,0.760714285666666,0.75833333325,0.7624999999375,0.7666666666
"CaTD90",0,0.866666667,0.816666666666667,0.770238095142857,0.773160173090909,0.772280701705263,0.769264069194805,0.765686274441177,0.771428571428571,0.7666666665
