Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7,Beta_8,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,Mean_6,Mean_7,Mean_8,SD_1,SD_2,SD_3,SD_4,SD_5,SD_6,SD_7,SD_8,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
qNet-vrest-APD50-APD90-max_dv-carest-CaTD50-CaTD90,0.75,0.6875,0.8125,0.872727273,0.777777778,0.947916667,0.6,0.428571429,1,0.818181818,0.777777778,0.75,3.29998735,2.142853714,3.999988,0.488889514,0.642857545,1.33E-06,0.6,0.545454545,0.727272727,0.215382853,0.952606635,0.766666667,-9.699995822,31.95244577,-29.51348975,140.0682872,-33.86410979,94.55323647,-19.45782763,-6.230651204,-49.2083568,145.974659,63.95253604,-88.03022061,287.2062878,364.2659437,-0.292902106,7.28E-05,327.3555683,768.6720229,15.85634121,0.020798121,64.31807536,92.85975461,0.063732419,3.84E-06,22.17761135,46.44521373,1,1,0.999,0.9945,1,1,1,1,0.906,0.9965,0.917,0.925,0.9845,0.8355,0.4995,0.6725,0.1885,0.812,0.9975,1,0.969,0.155,1,1,1,0.9995,0.3515,1
dvdtmax-vmax-vrest-APD50-APD90-max_dv-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.890909091,0.698412698,0.916666667,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.142853714,3.999988,0.440000616,0.551020985,1.33E-06,0.666666667,0.615384615,0.727272727,0.260381202,0.933649289,0.8,-34.75236825,-2.098754024,52.26691926,-11.64812704,103.5190014,78.0607754,148.3465562,-113.1945634,-92.42812809,201.1300736,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,-0.292902106,327.3555683,768.6720229,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,0.063732419,22.17761135,46.44521373,1,1,0.9915,0.9975,1,1,0.995,1,0.9625,0.999,0.9995,0.8605,1,0.0435,0.9115,0.999,0.149,1,0.999,1,0,0.9945,1,1,0.9975,0.999,0,1
dvdtmax-vmax-vrest-APD50-APD90-camax-carest-CaTD50,0.8125,0.625,0.75,0.909090909,0.746031746,0.895833333,0.6,0.285714286,1,0.818181818,0.777777778,0.666666667,4.3999813,1.92856725,2.999994,0.440000616,0.80357165,1.50E-06,0.666666667,0.4,0.666666667,0.224445239,0.943127962,0.766666667,6.878674768,98.12910734,-150.3909556,154.444286,61.03290211,-30.76340468,11.46051351,70.98779792,17.55637022,121.8020173,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,0.000222565,7.28E-05,327.3555683,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,3.76E-05,3.84E-06,22.17761135,1,1,0.9875,0.9995,1,1,0.9955,1,0.708,0.999,0.868,0.7665,0.7955,0.4445,0.48,0.9935,0.105,0.82,0.7965,1,0.985,0.8435,0.947848101,1,1,0.6495,0.5465,1
dvdtmax-vmax-vrest-APD50-APD90-carest-CaTD50-CaTD90,0.8125,0.6875,0.75,0.854545455,0.777777778,0.927083333,0.6,0.571428571,1,0.909090909,0.777777778,0.666666667,6.599938401,2.5714215,2.999994,0.440000616,0.551020985,1.50E-06,0.666666667,0.615384615,0.666666667,0.23626601,0.924170616,0.8,-39.22886999,-0.966881744,-26.69572713,9.534626337,105.7547884,114.3559051,-56.4098498,-2.720145911,-75.66218557,176.5148408,72.03390709,40.81753408,-88.03022061,287.2062878,364.2659437,7.28E-05,327.3555683,768.6720229,2.416227739,1.184759215,0.020798121,64.31807536,92.85975461,3.84E-06,22.17761135,46.44521373,1,1,0.9895,0.9955,1,1,0.9955,1,0.961,0.999,0.9985,0.978,0.994,0.5705,0.779,0.9995,0.1445,0.871,0.999,1,0.9685,0,1,1,1,0.999,0.2935,1
dvdtmax-vmax-vrest-APD50-max_dv-carest-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.909090909,0.793650794,0.927083333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,2.142853714,3.999988,0.440000616,0.551020985,0.272728066,0.666666667,0.615384615,0.666666667,0.233139171,0.957345972,0.766666667,9.417244058,93.52928347,-40.58761743,67.68232276,155.4309143,104.9387266,-55.11141845,9.48339683,27.10730648,85.43788876,72.03390709,40.81753408,-88.03022061,287.2062878,-0.292902106,7.28E-05,327.3555683,768.6720229,2.416227739,1.184759215,0.020798121,64.31807536,0.063732419,3.84E-06,22.17761135,46.44521373,1,1,0.9715,0.9955,1,0.999,0.9935,1,0.841,1,0.972,0.961,0.996,0.7725,0.6395,0.9995,0.144,1,0.9575,1,0,1,1,1,1,0.9885,0.018,1
dvdtmax-vmax-vrest-APD50-camax-carest-CaTD50-CaTD90,0.75,0.625,0.875,0.836363636,0.746031746,0.9375,0.6,0.428571429,0.75,0.727272727,0.666666667,0.833333333,2.933326244,1.92856725,5.99997,0.488889514,0.734694219,0.272728066,0.6,0.5,0.75,0.229229392,0.933649289,0.733333333,-44.1784474,-8.413802951,-35.05151388,32.94035974,89.94000959,133.2179665,-87.39399071,2.478658961,-100.7968349,114.687632,72.03390709,40.81753408,-88.03022061,287.2062878,0.000222565,7.28E-05,327.3555683,768.6720229,2.416227739,1.184759215,0.020798121,64.31807536,3.76E-05,3.84E-06,22.17761135,46.44521373,0.9995,1,0.92,0.994,1,1,0.9965,1,0.9625,0.9975,0.9985,0.9215,0.9385,0.18,0.7865,0.999,0.25,0.755,0.9995,1,0.9945,0.093,1,1,1,0.9965,0.62,0.9995
dvdtmax-vmax-APD50-APD90-camax-carest-CaTD50-CaTD90,0.75,0.625,0.8125,0.890909091,0.746031746,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,3.29998735,1.714283571,4.499979,0.488889514,0.80357165,0.30000084,0.6,0.461538462,0.666666667,0.255758755,0.938388626,0.7,-46.19830128,-31.86851454,-28.98377806,33.95881821,-5.371383116,5.671224394,8.800839203,96.8484078,-114.2983473,264.3947121,72.03390709,40.81753408,287.2062878,364.2659437,0.000222565,7.28E-05,327.3555683,768.6720229,2.416227739,1.184759215,64.31807536,92.85975461,3.76E-05,3.84E-06,22.17761135,46.44521373,0.9995,1,0.4985,0.998,1,1,0.894,1,0.896,0.9945,0.9805,0.578,0.5835,0.974,0.779,0.952,0.25,0.918,0.967,1,0.1715,0.996,0.996962025,1,1,0.9275,0.34,1
dvdtmax-vrest-APD50-APD90-max_dv-camax-carest-CaTD50,0.75,0.625,0.875,0.836363636,0.714285714,0.9375,0.6,0.571428571,0.75,0.818181818,0.666666667,0.833333333,3.29998735,1.92856725,5.99997,0.488889514,0.642857679,0.272728066,0.6,0.571428571,0.75,0.249661446,0.928909953,0.733333333,-28.76935067,5.527713851,50.5675231,105.2388558,178.5602765,199.9029329,-128.9211937,-139.6718261,-40.35893099,-84.85162976,72.03390709,-88.03022061,287.2062878,364.2659437,-0.292902106,0.000222565,7.28E-05,327.3555683,2.416227739,0.020798121,64.31807536,92.85975461,0.063732419,3.76E-05,3.84E-06,22.17761135,1,1,0.935,0.9975,0.9925,1,0.9955,1,0.949,0.999,1,0.733,1,0.35,0.926,0.9995,0.225,1,0.999,1,0,0.979,1,1,0.999,0.999,0,1
dvdtmax-vrest-APD50-APD90-max_dv-camax-CaTD50-CaTD90,0.75,0.6875,0.875,0.818181818,0.73015873,0.947916667,0.6,0.571428571,0.75,0.818181818,0.666666667,0.833333333,3.29998735,2.142853714,5.99997,0.488889514,0.551020985,0.272728066,0.6,0.615384615,0.75,0.223036312,0.924170616,0.733333333,-46.98419957,-12.60909947,54.92717333,105.3623309,150.4324405,236.5247649,-147.9965479,-117.5255182,-131.9323402,129.0615167,72.03390709,-88.03022061,287.2062878,364.2659437,-0.292902106,0.000222565,327.3555683,768.6720229,2.416227739,0.020798121,64.31807536,92.85975461,0.063732419,3.76E-05,22.17761135,46.44521373,1,1,0.957,0.998,0.997998999,1,0.9955,1,0.9545,0.9995,0.9995,0.722,1,0.7435,0.9305,0.999,0.207,1,0.999,1,0,0.9955,1,1,0.997,0.999,0,1
dvdtmax-vrest-APD50-APD90-camax-carest-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.909090909,0.761904762,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.642857545,1.33E-06,0.666666667,0.571428571,0.727272727,0.224833324,0.947867299,0.833333333,-35.47923281,2.456488762,-7.297655411,107.7652493,127.1298648,-71.81975163,-1.017686913,10.24823742,-81.30046872,190.7210279,72.03390709,-88.03022061,287.2062878,364.2659437,0.000222565,7.28E-05,327.3555683,768.6720229,2.416227739,0.020798121,64.31807536,92.85975461,3.76E-05,3.84E-06,22.17761135,46.44521373,1,1,0.9915,0.9955,1,1,0.995,1,0.9645,0.999,0.999,0.983,0.994,0.4435,0.779,0.9995,0.1355,0.8555,0.998,1,0.987,0.0135,1,1,1,0.9985,0.331,1
vmax-vrest-APD50-APD90-max_dv-camax-carest-CaTD50,0.8125,0.5625,0.75,0.909090909,0.73015873,0.875,0.6,0.285714286,1,0.909090909,0.777777778,0.666666667,6.599938401,1.285713,2.999994,0.440000616,0.918367452,1.50E-06,0.666666667,0.363636364,0.666666667,0.337599153,0.947867299,0.733333333,-12.82995855,36.00588243,59.7236474,132.0012699,14.49084076,91.57700281,4.176292677,-24.5909748,-55.13751453,4.088344276,40.81753408,-88.03022061,287.2062878,364.2659437,-0.292902106,0.000222565,7.28E-05,327.3555683,1.184759215,0.020798121,64.31807536,92.85975461,0.063732419,3.76E-05,3.84E-06,22.17761135,1,1,1,1,1,0.9825,1,1,0.004,0.7085,0,0.905,0.893,0.808,0,0.024,0.0675,0.996,0.0785,1,0,0.985,1,1,1,0.177,0.0225,1
