Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Mean_1,Mean_2,SD_1,SD_2,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
APD90-camax,0.6875,0.5625,0.875,0.909090909,0.714285714,0.916666667,0.8,0.142857143,1,0.636363636,0.888888889,0.833333333,2.1999967,1.285711714,5.99997,0.314286792,0.964285754,1.20E-06,0.615384615,0.222222222,0.8,0.315098885,0.890995261,0.708333333,-3.825094558,-0.349967026,7.0584452,0.888620155,363.9871979,0.000245491,83.19192952,1.78E-05,1,1,0.984,1,1,1,0.9015,1,0.8585,0.0225,0.9965,0.5605,0.107,0,0.965,0.9995,0.0665,5.00E-04,0.9775,1,1,0.4975,0.996,1,1,0,1,0.9355
APD90-CaTD50,0.6875,0.5625,0.875,0.909090909,0.698412698,0.916666667,0.8,0.142857143,1,0.636363636,0.888888889,0.833333333,2.1999967,1.285711714,5.99997,0.314286792,0.964285754,1.20E-06,0.615384615,0.222222222,0.8,0.329284725,0.881516588,0.708333333,-3.935469354,-0.595795705,8.160487048,-0.311500316,363.9871979,314.3122396,83.19192952,14.34918714,1,1,0.9965,1,1,1,0.879,1,0.77,0.0025,0.9785,0.4055,0.048,0,0.939,1,0.0665,0,0.929,1,1,0.588,1,1,1,0,1,0.685
APD90-CaTD90,0.6875,0.5625,0.875,0.909090909,0.714285714,0.916666667,0.8,0.142857143,1,0.636363636,0.888888889,0.833333333,2.1999967,1.285711714,5.99997,0.314286792,0.964285754,1.20E-06,0.615384615,0.222222222,0.8,0.326209493,0.886255924,0.708333333,-3.723096781,-0.342482122,8.142259129,-0.750549999,363.9871979,747.0841354,83.19192952,29.43244193,1,1,0.9955,1,1,1,0.8905,1,0.7925,0.0025,0.9845,0.456,0.0625,0,0.9455,1,0.0665,0,0.9485,1,1,0.544,1,1,1,0,1,0.8085
max_dv-CaTD50,0.6875,0.5625,0.875,0.909090909,0.746031746,0.916666667,0.8,0.142857143,1,0.636363636,0.888888889,0.833333333,2.1999967,1.285711714,5.99997,0.314286792,0.964285754,1.20E-06,0.615384615,0.222222222,0.8,0.343653435,0.872037915,0.708333333,-2.606847203,0.128025975,5.248532167,-0.367769914,-0.298881594,314.3122396,0.064078571,14.34918714,1,1,1,0.999,1,1,0.8685,1,0.5955,0,0.9245,0.4395,0.028,0,0.932,1,0.078,0,0.8595,1,1,0.5115,0.9995,1,1,0,1,0.191
