Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Mean_1,Mean_2,Mean_3,SD_1,SD_2,SD_3,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
dvdtmax-vrest-CaTD50,0.8125,0.6875,0.8125,0.927272727,0.746031746,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,5.49997525,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.571428571,0.666666667,0.211693763,0.928909953,0.708333333,-6.57081832,11.22415807,-31.1353988,25.86907087,14.97653672,72.39906799,-88.02084897,314.3122396,1.261624597,0.009432504,14.34918714,1,0.995,0.654,0.9985,1,0.976,0.998,1,1,0.9845,1,0.9995,0.855,0.0665,0.99,0.9565,0.085,0.7535,0.9485,1,1,0.6775,1,1,1,0.941,0.6045,0.9465
vrest-APD90-carest,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.777777778,0.833333333,5.49997525,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.210683296,0.938388626,0.708333333,-12.67736004,15.45055448,32.02531346,46.07862802,-8.719908322,-88.02084897,363.9871979,7.48E-05,0.009432504,83.19192952,9.00E-07,1,0.9965,0.649,0.9975,1,0.9965,0.9955,1,1,0.983,1,0.9995,0.8515,0.0095,0.994,0.983,0.0975,0.636,0.9905,1,1,0.7285,1,1,1,0.99,0.7345,0.98
vrest-APD90-CaTD90,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,5.49997525,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.213612491,0.938388626,0.708333333,-12.46189473,14.67596012,27.10911316,28.80004942,12.78073478,-88.02084897,363.9871979,747.0841354,0.009432504,83.19192952,29.43244193,1,0.9985,0.565,1,1,0.995,0.9955,1,1,0.982,1,0.9985,0.853,0.0035,0.991,0.9895,0.0775,0.684,0.997,1,1,0.758,1,1,1,0.9945,0.723,0.9785
