Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Mean_1,Mean_2,Mean_3,Mean_4,SD_1,SD_2,SD_3,SD_4,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
dvdtmax-vrest-APD90-CaTD90,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.833333333,6.599938401,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.571428571,0.666666667,0.21751755,0.938388626,0.708333333,-14.34688693,15.34504323,-7.695779836,32.56572847,26.72553517,17.20325019,72.39906799,-88.02084897,363.9871979,747.0841354,1.261624597,0.009432504,83.19192952,29.43244193,1,0.9975,0.549,0.9985,1,0.9985,0.996,1,1,0.989,1,1,0.8915,0.0125,0.993,0.988,0.091,0.8365,0.995,1,1,0.7385,1,1,1,0.998,0.4795,0.982
dvdtmax-vrest-max_dv-CaTD90,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,5.49997525,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.21474628,0.938388626,0.708333333,-11.65207428,14.50533349,-11.82825992,31.61013879,16.85285854,18.73642449,72.39906799,-88.02084897,-0.298881594,747.0841354,1.261624597,0.009432504,0.064078571,29.43244193,1,0.986,0.545,0.9975,1,0.998,0.998,1,1,0.9845,1,1,0.8415,0.029,0.9905,0.9735,0.0935,0.6075,0.9865,1,1,0.731,1,1,1,0.9985,0.7975,0.958
vmax-vrest-APD90-carest,0.8125,0.6875,0.8125,0.927272727,0.746031746,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,5.49997525,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.215407633,0.938388626,0.708333333,-11.96637168,14.08490387,4.719547517,24.80440466,41.60540497,-6.492346265,41.22437831,-88.02084897,363.9871979,7.48E-05,0.812209574,0.009432504,83.19192952,9.00E-07,1,0.9985,0.553,1,1,0.995,0.995,1,1,0.979,1,0.9975,0.8535,0.003,0.991,0.99,0.074,0.652,0.998,1,1,0.772,1,1,1,0.994,0.729,0.9775
vmax-vrest-APD90-CaTD90,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,5.49997525,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.214620306,0.938388626,0.708333333,-12.31485989,14.1883162,1.596614455,25.09793174,28.97506314,11.64033141,41.22437831,-88.02084897,363.9871979,747.0841354,0.812209574,0.009432504,83.19192952,29.43244193,1,0.9985,0.546,1,1,0.995,0.9955,1,1,0.98,1,0.9965,0.852,0.003,0.989,0.991,0.069,0.6825,0.9975,1,1,0.77,1,1,1,0.9945,0.7295,0.9785
vrest-APD90-camax-carest,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,5.49997525,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.211092774,0.938388626,0.708333333,-12.86254601,15.36386074,32.4643457,46.41230363,0.883596454,-9.588860224,-88.02084897,363.9871979,0.000245491,7.48E-05,0.009432504,83.19192952,1.78E-05,9.00E-07,1,0.9965,0.651,0.997,1,0.997,0.9955,1,1,0.9835,1,0.9995,0.856,0.01,0.994,0.983,0.0995,0.649,0.99,1,1,0.7265,1,1,1,0.9895,0.708,0.9805
vrest-APD90-carest-CaTD90,0.8125,0.6875,0.8125,0.945454545,0.746031746,0.90625,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,5.49997525,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.214557319,0.938388626,0.708333333,-12.47625611,14.14530741,25.03837832,22.26173285,3.472848274,17.67665764,-88.02084897,363.9871979,7.48E-05,747.0841354,0.009432504,83.19192952,9.00E-07,29.43244193,1,0.9985,0.544,1,1,0.9945,0.9955,1,0.9995,0.9805,1,0.997,0.85,0.003,0.9885,0.993,0.0675,0.6955,0.9975,1,1,0.772,1,1,1,0.994,0.7215,0.978
vrest-APD90-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.945454545,0.761904762,0.90625,0.6,0.571428571,0.75,0.909090909,0.666666667,0.833333333,6.599938401,2.142853714,4.499979,0.440000616,0.571429,0.30000084,0.666666667,0.6,0.666666667,0.218305622,0.938388626,0.708333333,-17.44631834,12.20286705,31.72298306,32.78462318,-8.679421919,28.39518514,-88.02084897,363.9871979,314.3122396,747.0841354,0.009432504,83.19192952,14.34918714,29.43244193,1,0.9955,0.5255,0.9985,1,0.9995,0.9955,1,1,0.9895,1,0.9995,0.901,0.0095,0.9935,0.989,0.091,0.8675,0.9965,1,1,0.7595,1,1,1,0.9985,0.4325,0.983
