Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,SD_1,SD_2,SD_3,SD_4,SD_5,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
dvdtmax-vrest-APD90-carest-CaTD50,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,5.49997525,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.211596738,0.938388626,0.708333333,-11.64154917,16.43661319,-6.735316486,31.9949258,36.25097033,-5.793927373,4.389327978,72.39906799,-88.02084897,363.9871979,7.48E-05,314.3122396,1.261624597,0.009432504,83.19192952,9.00E-07,14.34918714,1,0.9975,0.644,0.998,1,0.996,0.996,1,1,0.984,1,1,0.8525,0.0125,0.9935,0.986,0.093,0.652,0.989,1,1,0.7205,1,1,1,0.9885,0.7175,0.9795
dvdtmax-vrest-camax-carest-CaTD50,0.8125,0.6875,0.8125,0.927272727,0.746031746,0.916666667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.833333333,6.599938401,2.142853714,4.499979,0.440000616,0.571429,0.30000084,0.666666667,0.6,0.666666667,0.222650732,0.928909953,0.708333333,-7.902977788,12.79058216,-13.97831235,29.11116373,31.56326005,-20.44193278,19.60003681,72.39906799,-88.02084897,0.000245491,7.48E-05,314.3122396,1.261624597,0.009432504,1.78E-05,9.00E-07,14.34918714,1,0.999,0.5995,1,1,0.9865,0.9955,1,0.997,0.9745,1,0.9985,0.8575,0.0145,0.9875,0.987,0.067,0.9015,0.979,0.9995,0.9945,0.7615,1,1,0.9995,0.9565,0.332,0.9695
vmax-vrest-APD90-carest-CaTD90,0.8125,0.6875,0.8125,0.945,0.746031746,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,5.49997525,2.142853714,4.499979,0.4000006,0.642857545,0.30000084,0.727272727,0.545454545,0.666666667,0.214651799,0.938388626,0.708333333,-12.44252892,14.10880382,0.395820979,24.85942939,23.28157373,2.959829025,16.67698115,41.22437831,-88.02084897,363.9871979,7.48E-05,747.0841354,0.812209574,0.009432504,83.19192952,9.00E-07,29.43244193,1,0.9985,0.5415,1,1,0.9945,0.9955,1,0.9995,0.9805,1,0.997,0.8505,0.003,0.9885,0.993,0.0675,0.6935,0.9975,1,1,0.7725,1,1,1,0.9945,0.7235,0.978
vrest-APD90-camax-carest-CaTD50,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,5.49997525,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.571428571,0.666666667,0.212132188,0.938388626,0.708333333,-12.39377363,15.06488632,32.52121064,38.21478423,11.55221066,-15.10043895,4.185226979,-88.02084897,363.9871979,0.000245491,7.48E-05,314.3122396,0.009432504,83.19192952,1.78E-05,9.00E-07,14.34918714,1,0.998,0.633,0.998,1,0.996,0.995,1,1,0.9845,1,0.9995,0.865,0.009,0.994,0.9865,0.093,0.746,0.9915,1,1,0.734,1,1,1,0.9905,0.6035,0.982
