"Feature","1","2","3","4","5","6","7","8","9"
"qNet",0.733333333,0.733333333,0.733333333000001,0.733333332999999,0.733333333000001,0.733333333,0.734027777458334,0.733333333,0.733333333
"dvdtmax",0,0.733333333,0.736363636090909,0.734545454236364,0.734035087399999,0.734090908772726,0.733333333000001,0.733333333,0.733333333
"vmax",0,0.733333333,0.733333333,0.734883720627908,0.733749999674999,0.733333332999999,0.734259258944445,0.733333333,0.733333333
"vrest",0,0.733333333,0.737333333080001,0.73671497557971,0.734939758734939,0.73466666636,0.735416666375,0.733333333,0
"APD50",0,0.733333333,0.733333333,0.733333333000001,0.733333332999999,0.733333332999999,0.734090908772728,0.733333333,0.733333333
"APD90",0,0.733333333,0.73749999975,0.737681159173914,0.734782608391304,0.733939393618182,0.734615384307693,0.733333333,0
"max_dv",0,0.733333333,0.733333333,0.734188033871796,0.733333332999999,0.733862433539682,0.73440860183871,0.733333333,0.733333333
"camax",0,0.733333333,0.733333333,0.733962263830189,0.734117646741176,0.734177214873417,0.733333333000001,0.733333333,0.733333333
"carest",0,0.733333333,0.735185184888889,0.734848484545454,0.734556574614679,0.734006733686868,0.733333333,0.733333333,0.733333333
"CaTD50",0,0.733333333,0.735714285428572,0.734074073755556,0.734509803611764,0.734099616540229,0.734027777458334,0.733333333,0.733333333
"CaTD90",0,0.733333333,0.735897435615385,0.736734693612245,0.733734939433734,0.733333332999999,0.733333333000001,0.733333333,0.733333333
