Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,Mean_6,SD_1,SD_2,SD_3,SD_4,SD_5,SD_6,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
qNet-dvdtmax-APD50-camax-carest-CaTD90,0.8125,0.625,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.571428571,0.6,0.267894552,0.91943128,0.733333333,-21.75840411,13.50451963,-39.94105118,-20.32161907,-74.46112945,23.16873744,22.73960611,66.8385978,64.09733802,72.39906799,286.8620938,0.000245491,7.48E-05,747.0841354,12.52235177,1.261624597,53.76993945,1.78E-05,9.00E-07,29.43244193,1,0.9985,0.258,1,1,1,0.9875,1,0.936,0.991,0.996,0.9965,0.934,0.003,0.935,1,0.016,1,0.9945,0.9995,0.8825,0.836,1,1,0.9965,1,0.0025,0.993
qNet-dvdtmax-APD50-carest-CaTD50-CaTD90,0.875,0.625,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.260189148,0.91943128,0.733333333,-25.45058803,8.497772172,-36.82956211,-13.98886067,-33.74410378,24.76639827,-18.183393,61.13833934,64.09733802,72.39906799,286.8620938,7.48E-05,314.3122396,747.0841354,12.52235177,1.261624597,53.76993945,9.00E-07,14.34918714,29.43244193,1,0.998,0.2705,1,1,1,0.9875,1,0.9375,0.992,0.995,0.997,0.937,0.0025,0.9345,1,0.015,1,0.9945,0.9995,0.9945,0.825,1,1,0.9995,1,0.0035,0.993
qNet-dvdtmax-APD90-camax-carest-CaTD50,0.8125,0.625,0.75,0.927272727,0.682539683,0.854166667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.545454545,0.6,0.240091853,0.924170616,0.733333333,-24.30448918,6.570880067,-40.82520891,8.83337428,50.29435393,-10.24070798,-7.92266143,-28.83432501,64.09733802,72.39906799,363.9871979,0.000245491,7.48E-05,314.3122396,12.52235177,1.261624597,83.19192952,1.78E-05,9.00E-07,14.34918714,1,0.997,0.423,1,0.9995,0.9995,0.993,0.9975,0.9395,0.9895,1,0.997,0.9055,0.002,0.945,0.9995,0.0165,0.913,0.9975,1,1,0.811,1,0.9645,1,0.999,0.3225,0.9885
qNet-dvdtmax-APD90-camax-carest-CaTD90,0.8125,0.625,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.4000006,0.734694219,0.333334222,0.727272727,0.5,0.6,0.247700959,0.91943128,0.733333333,-14.54454676,16.15343663,-31.52720017,-15.76850238,-15.59437887,-5.847612038,15.91011271,11.49478019,64.09733802,72.39906799,363.9871979,0.000245491,7.48E-05,747.0841354,12.52235177,1.261624597,83.19192952,1.78E-05,9.00E-07,29.43244193,1,0.9995,0.2935,1,1,0.998,0.9785,1,0.8825,0.9855,0.9935,0.996,0.892,0.002,0.9175,1,0.0045,0.8865,0.988,1,1,0.8165,1,1,1,0.994,0.422,0.9875
qNet-dvdtmax-APD90-camax-CaTD50-CaTD90,0.875,0.625,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.249119589,0.924170616,0.733333333,-43.29492773,-11.09864816,-37.94494372,16.58407428,42.23261602,-0.565570862,-58.23186527,70.84273711,64.09733802,72.39906799,363.9871979,0.000245491,314.3122396,747.0841354,12.52235177,1.261624597,83.19192952,1.78E-05,14.34918714,29.43244193,1,0.9965,0.444,1,1,1,0.9925,0.998,0.943,0.992,0.999,0.997,0.936,5.00E-04,0.945,0.9995,0.0185,0.992,0.9965,1,0.992,0.8375,1,0.9785,1,1,0.0105,0.99
qNet-dvdtmax-APD90-carest-CaTD50-CaTD90,0.8125,0.625,0.75,0.927272727,0.682539683,0.84375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.571428571,0.6,0.252046993,0.924170616,0.733333333,-41.75078868,-9.505543335,-38.76765033,18.41816147,46.01145219,-3.034557427,-56.30094962,63.00159464,64.09733802,72.39906799,363.9871979,7.48E-05,314.3122396,747.0841354,12.52235177,1.261624597,83.19192952,9.00E-07,14.34918714,29.43244193,1,0.9965,0.444,1,1,1,0.9925,0.998,0.942,0.992,0.999,0.997,0.934,5.00E-04,0.945,0.9995,0.019,0.984,0.997,1,0.9915,0.84,1,0.9375,1,1,0.015,0.9895
qNet-dvdtmax-max_dv-camax-carest-CaTD50,0.8734375,0.625,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,8.744914806,1.714283571,2.999992,0.4000006,0.734694219,0.333334222,0.749431818,0.5,0.6,0.264623691,0.914691943,0.733333333,-15.33525884,16.16754054,-41.89879966,-20.32879451,0.634491518,-16.84964362,11.26082895,-8.080447343,64.09733802,72.39906799,-0.298881594,0.000245491,7.48E-05,314.3122396,12.52235177,1.261624597,0.064078571,1.78E-05,9.00E-07,14.34918714,1,0.998,0.293,1,0.9995,0.9985,0.983,0.9985,0.8855,0.9875,0.9925,0.9985,0.907,0.005,0.9285,1,0.0035,0.9555,0.9935,1,1,0.832,1,1,0.9995,0.9965,0.041,0.9875
qNet-dvdtmax-max_dv-camax-carest-CaTD90,0.875,0.625,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.545454545,0.6,0.264589914,0.914691943,0.733333333,-15.36267536,17.23121391,-33.17878545,-17.99480628,-13.82855128,-11.76233853,20.99464491,11.49515874,64.09733802,72.39906799,-0.298881594,0.000245491,7.48E-05,747.0841354,12.52235177,1.261624597,0.064078571,1.78E-05,9.00E-07,29.43244193,1,0.9995,0.298,1,1,0.9995,0.977,1,0.867,0.9895,0.992,0.9945,0.9185,0.002,0.925,1,0.0035,1,0.9875,1,0.9985,0.8305,1,1,0.999,0.997,0.0095,0.9915
qNet-dvdtmax-max_dv-camax-CaTD50-CaTD90,0.875,0.625,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.258116274,0.91943128,0.733333333,-39.87272772,-6.026954436,-38.64751837,10.33759137,8.909705675,15.26353124,-46.32280884,76.05078036,64.09733802,72.39906799,-0.298881594,0.000245491,314.3122396,747.0841354,12.52235177,1.261624597,0.064078571,1.78E-05,14.34918714,29.43244193,1,0.997,0.335,1,1,1,0.9855,0.999,0.908,0.9905,0.997,0.9965,0.939,0.001,0.929,1,0.011,0.9945,0.993,0.9995,0.992,0.84,1,1,1,1,0.006,0.9905
qNet-dvdtmax-max_dv-carest-CaTD50-CaTD90,0.875,0.625,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.714283571,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.256509441,0.924170616,0.733333333,-37.39420849,-4.318434829,-35.65865161,0.738690701,3.910134427,13.62315737,-43.49320135,75.89703556,64.09733802,72.39906799,-0.298881594,7.48E-05,314.3122396,747.0841354,12.52235177,1.261624597,0.064078571,9.00E-07,14.34918714,29.43244193,1,0.997,0.3385,1,1,1,0.988,0.9985,0.922,0.9905,0.996,0.997,0.937,0.0015,0.9315,1,0.012,1,0.9925,1,0.9975,0.8315,1,1,1,1,0.0075,0.9915
