Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Mean_1,Mean_2,Mean_3,Mean_4,SD_1,SD_2,SD_3,SD_4,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
vmax-vrest-APD90-camax,0.8125,0.6875,0.8125,0.927272727,0.746031746,0.916666667,0.6,0.428571429,0.75,0.818181818,0.777777778,0.833333333,4.3999813,2.142853714,4.499979,0.4000006,0.642857545,0.30000084,0.727272727,0.545454545,0.666666667,0.215848526,0.933649289,0.733333333,-10.58211378,14.01620617,3.558709011,21.72389441,38.99272839,-6.481388417,41.22437831,-88.02084897,363.9871979,0.000245491,0.812209574,0.009432504,83.19192952,1.78E-05,1,0.9995,0.5935,1,1,0.99,0.9955,1,0.9995,0.9695,1,0.996,0.7965,0.0025,0.9875,0.9895,0.0675,0.526,0.9975,1,1,0.774,1,1,1,0.975,0.875,0.977
vmax-vrest-max_dv-carest,0.8125,0.625,0.8125,0.927272727,0.761904762,0.916666667,0.8,0.428571429,0.75,0.818181818,0.777777778,0.75,4.3999813,1.92856725,3.999988,0.244445368,0.734694219,0.30000084,0.727272727,0.5,0.666666667,0.239174559,0.924170616,0.733333333,-5.908789022,10.36913011,3.099567324,15.55973581,22.95344083,-3.961584969,41.22437831,-88.02084897,-0.298881594,7.48E-05,0.812209574,0.009432504,0.064078571,9.00E-07,1,0.9985,0.619,1,1,0.957,0.9975,1,0.997,0.8825,1,0.9945,0.5935,0.0035,0.969,0.9705,0.0685,0.259,0.9915,1,1,0.7495,1,1,1,0.918,0.9945,0.92
vmax-vrest-max_dv-CaTD90,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.8,0.428571429,0.75,0.818181818,0.777777778,0.833333333,4.3999813,2.5714215,4.499979,0.244445368,0.642857545,0.30000084,0.727272727,0.545454545,0.666666667,0.222807321,0.933649289,0.733333333,-8.129762891,12.68070017,-1.160380769,22.35102539,17.84633432,11.61523507,41.22437831,-88.02084897,-0.298881594,747.0841354,0.812209574,0.009432504,0.064078571,29.43244193,1,0.998,0.597,0.999,1,0.9795,0.9975,1,0.9985,0.959,1,0.9995,0.7255,0.007,0.9865,0.9775,0.081,0.4015,0.9915,1,1,0.745,1,1,1,0.986,0.966,0.9335
vmax-vrest-camax-CaTD90,0.875,0.6875,0.8125,0.945454545,0.73015873,0.875,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,2.142853714,3.999988,0.4000006,0.551020985,0.30000084,0.75,0.615384615,0.666666667,0.244902121,0.928909953,0.733333333,-17.69928875,12.06056932,2.17215788,26.57002209,21.44684702,42.1565882,41.22437831,-88.02084897,0.000245491,747.0841354,0.812209574,0.009432504,1.78E-05,29.43244193,1,0.999,0.42,1,1,0.999,0.995,1,0.993,0.986,1,0.996,0.9245,0.0025,0.973,0.9965,0.0515,0.9935,0.999,1,1,0.797,1,1,1,0.998,0.007,0.9895
vmax-vrest-carest-CaTD90,0.8125,0.6875,0.8125,0.945454545,0.761904762,0.895833333,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,5.49997525,2.142853714,4.499979,0.4000006,0.642857545,0.30000084,0.727272727,0.545454545,0.666666667,0.216005986,0.938388626,0.733333333,-12.49922482,13.32211876,-4.66248095,23.55039735,14.31914754,36.22285706,41.22437831,-88.02084897,7.48E-05,747.0841354,0.812209574,0.009432504,9.00E-07,29.43244193,1,0.9995,0.5325,1,1,0.994,0.9965,1,0.999,0.981,1,0.9975,0.842,0.003,0.9785,0.994,0.065,0.726,0.998,1,1,0.7785,1,1,1,0.9945,0.6935,0.9775
vmax-max_dv-carest-CaTD90,0.875,0.625,0.75,0.927272727,0.698412698,0.802083333,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,8.799914201,1.92856725,2.999992,0.4000006,0.734694219,0.333334222,0.75,0.5,0.6,0.258458134,0.909952607,0.733333333,-16.36235874,6.663216574,5.776664165,-28.68472941,35.32248095,60.9536787,41.22437831,-0.298881594,7.48E-05,747.0841354,0.812209574,0.064078571,9.00E-07,29.43244193,1,1,0.309,1,1,0.9975,0.93,1,0.8875,0.952,0.9975,0.959,0.9,0,0.9165,0.9955,0.008,0.9975,0.9725,0.999,0.994,0.944,1,1,0.994,0.9715,0.054,0.9835
vrest-APD50-APD90-camax,0.8125,0.625,0.75,0.945454545,0.73015873,0.875,0.6,0.428571429,0.75,0.818181818,0.777777778,0.75,5.49997525,1.92856725,2.999992,0.4000006,0.714286,0.333334222,0.727272727,0.5,0.6,0.224634954,0.928909953,0.733333333,-12.33593284,14.74539022,23.25179092,64.01427122,-26.79592346,-4.857475118,-88.02084897,286.8620938,363.9871979,0.000245491,0.009432504,53.76993945,83.19192952,1.78E-05,1,0.9995,0.5095,1,0.995,0.995,0.9955,1,0.968,0.9775,1,0.994,0.831,0,0.932,0.9985,0.033,0.6695,0.998,1,1,0.7985,1,1,1,0.993,0.749,0.979
vrest-APD50-APD90-carest,0.8125,0.625,0.75,0.945454545,0.73015873,0.895833333,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,5.49997525,1.92856725,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.545454545,0.6,0.222524797,0.928909953,0.733333333,-12.54964915,14.52872468,26.24120582,59.56613226,-21.2027472,-5.468598336,-88.02084897,286.8620938,363.9871979,7.48E-05,0.009432504,53.76993945,83.19192952,9.00E-07,1,0.9995,0.495,1,1,0.996,0.995,1,0.9805,0.982,1,0.996,0.866,0.0015,0.943,0.998,0.0415,0.7905,0.999,1,1,0.7985,1,1,1,0.9955,0.6,0.981
vrest-APD50-APD90-CaTD90,0.8125,0.625,0.75,0.945454545,0.73015873,0.895833333,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,5.49997525,1.92856725,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.545454545,0.6,0.224224868,0.928909953,0.733333333,-12.99347703,14.22812443,24.23165856,50.68542927,-21.56154497,8.464710316,-88.02084897,286.8620938,363.9871979,747.0841354,0.009432504,53.76993945,83.19192952,29.43244193,1,0.9995,0.4835,1,1,0.996,0.9965,1,0.977,0.9805,1,0.9955,0.864,0.001,0.9405,0.9975,0.04,0.7475,0.999,1,1,0.7975,1,1,1,0.9975,0.639,0.9815
vrest-APD50-camax-carest,0.8125,0.6875,0.8125,0.927272727,0.746031746,0.895833333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.833333333,6.599938401,2.142853714,4.499979,0.4000006,0.551020985,0.30000084,0.727272727,0.615384615,0.666666667,0.227278423,0.933649289,0.733333333,-13.49556033,14.31273844,32.92554876,42.72527688,10.19405947,-16.76502085,-88.02084897,286.8620938,0.000245491,7.48E-05,0.009432504,53.76993945,1.78E-05,9.00E-07,1,0.998,0.491,1,1,0.998,0.9945,1,0.9955,0.9865,1,0.9985,0.898,0.0045,0.9835,0.9935,0.0585,0.9125,0.9975,1,1,0.779,1,1,1,0.9945,0.316,0.986
