Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Mean_1,Mean_2,Mean_3,SD_1,SD_2,SD_3,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
vrest-max_dv-carest,0.8125,0.6875,0.8125,0.927272727,0.777777778,0.9375,0.8,0.428571429,0.75,0.818181818,0.777777778,0.833333333,4.3999813,2.5714215,4.499979,0.244445368,0.714286,0.30000084,0.727272727,0.5,0.666666667,0.23184155,0.928909953,0.733333333,-6.161345938,11.56835937,20.65766856,25.63603237,-5.433688869,-88.02084897,-0.298881594,7.48E-05,0.009432504,0.064078571,9.00E-07,1,0.99,0.743,0.9915,1,0.9645,0.9985,1,0.997,0.895,1,0.9975,0.592,0.011,0.9805,0.9335,0.092,0.253,0.975,1,1,0.7035,1,1,1,0.9235,0.9945,0.921
vrest-max_dv-CaTD50,0.8125,0.625,0.8125,0.927272727,0.761904762,0.9375,0.8,0.285714286,0.75,0.818181818,0.777777778,0.75,4.3999813,2.571414429,3.999988,0.244445368,0.734694219,0.30000084,0.727272727,0.444444444,0.666666667,0.247101708,0.91943128,0.733333333,-4.374131868,8.409267653,11.9030448,14.67194849,2.796074306,-88.02084897,-0.298881594,314.3122396,0.009432504,0.064078571,14.34918714,1,0.9995,0.809,1,1,0.93,0.998,1,0.9925,0.736,1,0.9865,0.4595,0.001,0.9575,0.9595,0.0605,0.1095,0.982,1,1,0.7465,1,1,1,0.71,0.999,0.953
vrest-max_dv-CaTD90,0.8125,0.6875,0.8125,0.945454545,0.761904762,0.916666667,0.8,0.428571429,0.75,0.818181818,0.777777778,0.833333333,4.3999813,2.571414429,4.499979,0.244445368,0.642857679,0.30000084,0.727272727,0.545454545,0.666666667,0.225420323,0.933649289,0.733333333,-7.911007394,12.25081571,20.64789871,17.71561787,10.68047558,-88.02084897,-0.298881594,747.0841354,0.009432504,0.064078571,29.43244193,1,0.9985,0.5705,0.9995,1,0.977,0.9975,1,0.9985,0.954,1,0.999,0.72,0.004,0.9835,0.9815,0.076,0.394,0.9925,1,1,0.753,1,1,1,0.984,0.9675,0.932
vrest-camax-CaTD50,0.8125,0.625,0.8125,0.927272727,0.73015873,0.916666667,0.8,0.285714286,0.75,0.727272727,0.888888889,0.75,3.666656889,2.571414429,3.999988,0.244445368,0.80357165,0.30000084,0.727272727,0.4,0.666666667,0.269584186,0.909952607,0.733333333,-2.860316669,3.544435889,2.996797982,7.546389663,6.876122398,-88.02084897,0.000245491,314.3122396,0.009432504,1.78E-05,14.34918714,1,1,0.879,1,1,0.923,0.9955,1,0.9535,0.3225,1,0.847,0.279,0,0.902,0.994,0.028,0.0515,0.9825,1,1,0.824,1,1,1,0.1605,1,0.988
vrest-camax-CaTD90,0.875,0.6875,0.8125,0.945,0.746031746,0.885416667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.833333333,8.799914201,2.142853714,4.499979,0.4000006,0.551020985,0.30000084,0.75,0.615384615,0.666666667,0.24332837,0.933649289,0.733333333,-17.42117271,12.5044796,28.65611904,20.77425962,42.56909135,-88.02084897,0.000245491,747.0841354,0.009432504,1.78E-05,29.43244193,1,0.9985,0.443,1,1,0.999,0.995,1,0.996,0.987,1,0.997,0.9235,0.003,0.9815,0.996,0.0595,0.9865,0.999,0.9995,1,0.785,1,1,1,0.999,0.0075,0.9885
vrest-carest-CaTD90,0.8125,0.625,0.75,0.945454545,0.746031746,0.895833333,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,5.49997525,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.727272727,0.545454545,0.6,0.2204791,0.933649289,0.733333333,-12.18720328,11.87966774,17.91677898,14.58541592,33.73181267,-88.02084897,7.48E-05,747.0841354,0.009432504,9.00E-07,29.43244193,1,1,0.4805,1,1,0.9915,0.997,1,0.987,0.977,1,0.9955,0.8375,5.00E-04,0.9585,0.995,0.0455,0.7295,0.999,1,1,0.8175,1,1,1,0.9915,0.6935,0.974
APD50-camax-carest,0.75,0.625,0.8125,0.927272727,0.714285714,0.916666667,0.8,0.285714286,0.75,0.727272727,0.777777778,0.75,2.933326244,1.92856725,3.999988,0.275000997,0.857143,0.30000084,0.666666667,0.363636364,0.666666667,0.28441695,0.90521327,0.733333333,-3.179815254,2.701981342,9.732535726,-9.205912152,8.015141338,286.8620938,0.000245491,7.48E-05,53.76993945,1.78E-05,9.00E-07,1,1,0.82,1,0.9995,0.969,0.947,1,0.94,0.1785,1,0.7495,0.221,0,0.9335,1,0.0305,0.004,0.985,1,1,0.83,1,1,1,0.21,1,0.901
APD50-carest-CaTD50,0.75,0.625,0.8125,0.927272727,0.714285714,0.916666667,0.8,0.142857143,0.75,0.727272727,0.888888889,0.75,2.933326244,1.92856725,3.999988,0.275000997,0.857143,0.30000084,0.666666667,0.25,0.666666667,0.289820452,0.900473934,0.733333333,-2.758618945,2.204077433,2.954619357,3.242730388,3.259107491,286.8620938,7.48E-05,314.3122396,53.76993945,9.00E-07,14.34918714,1,1,0.893,1,0.9995,0.9995,0.9285,1,0.943,0.065,1,0.6425,0.169,0,0.9415,0.9995,0.041,0.0035,0.987,1,1,0.809,1,1,1,0.0205,1,0.925
APD90-camax-carest,0.75,0.625,0.8125,0.927272727,0.73015873,0.916666667,0.8,0.285714286,0.75,0.727272727,0.777777778,0.75,2.933326244,1.92856725,3.999988,0.275000997,0.857143,0.30000084,0.666666667,0.363636364,0.666666667,0.283285874,0.90521327,0.733333333,-2.667604451,2.3323109,8.605994479,-8.603073371,7.542669456,363.9871979,0.000245491,7.48E-05,83.19192952,1.78E-05,9.00E-07,1,1,0.8855,1,1,0.9595,0.964,1,0.918,0.1935,1,0.7935,0.2185,0,0.9575,0.997,0.047,0.0035,0.979,1,1,0.7225,1,1,1,0.08,1,0.9185
APD90-carest-CaTD50,0.75,0.625,0.8125,0.927272727,0.73015873,0.916666667,0.8,0.142857143,0.75,0.727272727,0.888888889,0.75,2.933326244,2.571414429,3.999988,0.275000997,0.857143,0.30000084,0.666666667,0.25,0.666666667,0.289192183,0.900473934,0.733333333,-2.607719807,2.129358667,2.644897694,3.280471388,3.291342699,363.9871979,7.48E-05,314.3122396,83.19192952,9.00E-07,14.34918714,1,1,0.916,1,1,0.9925,0.947,1,0.93,0.073,1,0.6645,0.171,0,0.9495,0.9995,0.043,0.0035,0.986,1,1,0.7745,1,1,1,0.0065,1,0.9285
max_dv-carest-CaTD90,0.875,0.625,0.75,0.927272727,0.698412698,0.833333333,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,8.799914201,1.92856725,2.999992,0.4000006,0.734694219,0.333334222,0.75,0.5,0.6,0.252050953,0.91943128,0.733333333,-19.70636612,3.721499061,-40.35701385,43.65269296,76.84454031,-0.298881594,7.48E-05,747.0841354,0.064078571,9.00E-07,29.43244193,1,1,0.41,1,1,0.9995,0.9255,1,0.886,0.945,0.997,0.955,0.8845,0,0.922,0.996,0.012,0.978,0.97,0.996,0.9895,0.947,1,1,0.974,0.9775,0.092,0.9845
